requested_budget,policy,seed_n,acquisition_rate_mean,acquisition_rate_se,acquisition_rate_ci95_lower,acquisition_rate_ci95_upper,decision_loss_mean,decision_loss_se,decision_loss_ci95_lower,decision_loss_ci95_upper,accuracy_mean,accuracy_se,accuracy_ci95_lower,accuracy_ci95_upper,total_risk_with_cost_mean,total_risk_with_cost_se,total_risk_with_cost_ci95_lower,total_risk_with_cost_ci95_upper,fpr_mean,fpr_se,fpr_ci95_lower,fpr_ci95_upper,recall_mean,recall_se,recall_ci95_lower,recall_ci95_upper,fnr_mean,fnr_se,fnr_ci95_lower,fnr_ci95_upper,decision_loss_reduction_vs_never_mean,decision_loss_reduction_vs_never_se,decision_loss_reduction_vs_never_ci95_lower,decision_loss_reduction_vs_never_ci95_upper,context_a_acquisition_rate_mean,context_a_acquisition_rate_se,context_a_acquisition_rate_ci95_lower,context_a_acquisition_rate_ci95_upper,context_b_acquisition_rate_mean,context_b_acquisition_rate_se,context_b_acquisition_rate_ci95_lower,context_b_acquisition_rate_ci95_upper,oracle_value_captured_per_example_mean,oracle_value_captured_per_example_se,oracle_value_captured_per_example_ci95_lower,oracle_value_captured_per_example_ci95_upper
0.0,learned_value,30,0.0,0.0,0.0,0.0,0.20988611111111105,0.0008563533437680481,0.20813467186829718,0.21163755035392492,0.7901138888888889,0.0008563533437680492,0.788362449646075,0.7918653281317027,0.20988611111111105,0.0008563533437680481,0.20813467186829718,0.21163755035392492,0.21134299344305044,0.0009668635427466426,0.20936553546552755,0.21332045142057332,0.7915702481310276,0.001164290582157692,0.7891890065203427,0.7939514897417125,0.20842975186897222,0.0011642905821576922,0.20604851025828738,0.21081099347965707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,oracle_decision_value,30,0.0,0.0,0.0,0.0,0.20988611111111105,0.0008563533437680481,0.20813467186829718,0.21163755035392492,0.7901138888888889,0.0008563533437680492,0.788362449646075,0.7918653281317027,0.20988611111111105,0.0008563533437680481,0.20813467186829718,0.21163755035392492,0.21134299344305044,0.0009668635427466426,0.20936553546552755,0.21332045142057332,0.7915702481310276,0.001164290582157692,0.7891890065203427,0.7939514897417125,0.20842975186897222,0.0011642905821576922,0.20604851025828738,0.21081099347965707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,random,30,0.0,0.0,0.0,0.0,0.20988611111111105,0.0008563533437680481,0.20813467186829718,0.21163755035392492,0.7901138888888889,0.0008563533437680492,0.788362449646075,0.7918653281317027,0.20988611111111105,0.0008563533437680481,0.20813467186829718,0.21163755035392492,0.21134299344305044,0.0009668635427466426,0.20936553546552755,0.21332045142057332,0.7915702481310276,0.001164290582157692,0.7891890065203427,0.7939514897417125,0.20842975186897222,0.0011642905821576922,0.20604851025828738,0.21081099347965707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,uncertainty,30,0.0,0.0,0.0,0.0,0.20988611111111105,0.0008563533437680481,0.20813467186829718,0.21163755035392492,0.7901138888888889,0.0008563533437680492,0.788362449646075,0.7918653281317027,0.20988611111111105,0.0008563533437680481,0.20813467186829718,0.21163755035392492,0.21134299344305044,0.0009668635427466426,0.20936553546552755,0.21332045142057332,0.7915702481310276,0.001164290582157692,0.7891890065203427,0.7939514897417125,0.20842975186897222,0.0011642905821576922,0.20604851025828738,0.21081099347965707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,learned_value,30,0.05000000000000002,2.5770405001214727e-18,0.05000000000000001,0.050000000000000024,0.18945277777777778,0.0008087236223847744,0.1877987522529835,0.19110680330257204,0.8105472222222222,0.0008087236223847739,0.8088931966974279,0.8122012477470165,0.1904527777777778,0.0008087236223847744,0.18879875225298354,0.19210680330257207,0.18954447813621345,0.0013312891395905455,0.18682168612567351,0.19226727014675338,0.8105857488201015,0.001643332494251379,0.8072247564909787,0.8139467411492243,0.1894142511798985,0.0016433324942513791,0.1860532588507757,0.19277524350902128,0.020433333333333335,0.00022635289303189415,0.01997038968692201,0.02089627697974466,0.10008945657854729,0.0001956844664052813,0.09968923690735028,0.1004896762497443,0.0,0.0,0.0,0.0,0.02069965177277443,8.272168842947412e-05,0.020530466923551205,0.020868836621997656
0.05,oracle_decision_value,30,0.05000000000000002,2.5770405001214727e-18,0.05000000000000001,0.050000000000000024,0.18816944444444442,0.0008212387006258932,0.18648982271065778,0.18984906617823105,0.8118305555555555,0.000821238700625896,0.8101509338217688,0.8135101772893422,0.18916944444444445,0.0008212387006258932,0.1874898227106578,0.19084906617823108,0.18905443749076992,0.00098318620757055,0.18704359591531058,0.19106527906622925,0.8127078040958833,0.0011210654474324581,0.8104149678120236,0.815000640379743,0.18729219590411664,0.0011210654474324584,0.18499935962025701,0.18958503218797626,0.02171666666666667,0.00014953098236519718,0.021410841469116145,0.022022491864217193,0.10008945657854729,0.0001956844664052813,0.09968923690735028,0.1004896762497443,0.0,0.0,0.0,0.0,0.022128763523908437,1.5010622645766645e-05,0.022098063353526445,0.022159463694290428
0.05,random,30,0.05000000000000002,2.5770405001214727e-18,0.05000000000000001,0.050000000000000024,0.2051722222222222,0.0007896190835762023,0.2035572698664985,0.2067871745779459,0.7948277777777778,0.0007896190835762007,0.7932128254220541,0.7964427301335015,0.20617222222222226,0.0007896190835762021,0.20455726986649855,0.20778717457794596,0.2063297767240716,0.0009365677906152261,0.2044142805168386,0.2082452729313046,0.795986023252519,0.0011011531001985252,0.7937339122914666,0.7982381342135714,0.20401397674748095,0.0011011531001985252,0.2017618657864286,0.2062660877085333,0.00471388888888889,0.00015570685717879946,0.004395432609103486,0.005032345168674294,0.050108259364707274,0.00036441443994480696,0.04936294815011097,0.05085357057930358,0.04988541857972197,0.0003641786557250347,0.04914058959800109,0.050630247561442854,0.004909580554083409,5.953578249657924e-05,0.00478781620695384,0.005031344901212978
0.05,uncertainty,30,0.05000000000000002,2.5770405001214727e-18,0.05000000000000001,0.050000000000000024,0.19860833333333336,0.0008356304546299042,0.19689927715765546,0.20031738950901126,0.8013916666666666,0.0008356304546299054,0.7996826104909887,0.8031007228423446,0.19960833333333333,0.0008356304546299044,0.19789927715765543,0.20131738950901124,0.19982157524163305,0.0009986524200814389,0.19777910170989493,0.20186404877337116,0.8026011070314486,0.001138762304023426,0.8002720766119166,0.8049301374509806,0.19739889296855131,0.001138762304023426,0.19506986254901926,0.19972792338808337,0.011277777777777777,0.0001533644257442559,0.010964112308196966,0.011591443247358588,0.049780057962355954,0.0003079194760125303,0.049150291922625156,0.05040982400208675,0.05021300407888355,0.0003066151254708046,0.049585905735544424,0.05084010242222268,0.011438482423330525,7.880715852091416e-05,0.011277303686711301,0.011599661159949749
0.1,learned_value,30,0.10000000000000003,5.1540810002429455e-18,0.10000000000000002,0.10000000000000005,0.1717861111111111,0.0007900309107445637,0.17017031647425523,0.173401905747967,0.8282138888888889,0.0007900309107445636,0.826598094252033,0.8298296835257448,0.17378611111111114,0.0007900309107445637,0.17217031647425526,0.17540190574796702,0.1712001018434654,0.0011052054307911098,0.16893970293576538,0.17346050075116543,0.8276180774346226,0.0015988616881551915,0.8243480381163373,0.8308881167529079,0.1723819225653776,0.0015988616881551915,0.16911188324709225,0.17565196188366294,0.0381,0.0003375073907709753,0.03740971987995634,0.038790280120043666,0.20017891315709457,0.0003913689328105626,0.19937847381470056,0.2009793524994886,0.0,0.0,0.0,0.0,0.03860572737799542,0.00017276400556407402,0.038252385312722195,0.03895906944326864
0.1,oracle_decision_value,30,0.10000000000000003,5.1540810002429455e-18,0.10000000000000002,0.10000000000000005,0.16974166666666665,0.0007659265751483742,0.16817517093147602,0.17130816240185728,0.8302583333333332,0.0007659265751483754,0.8286918375981426,0.8318248290685238,0.17174166666666665,0.0007659265751483742,0.17017517093147602,0.17330816240185729,0.17040403241764193,0.0009687979791876466,0.16842261807336908,0.17238544676191478,0.8309144862461363,0.0010334507740156844,0.8288008420894344,0.8330281304028382,0.16908551375386355,0.0010334507740156847,0.16697186959716168,0.17119915791056542,0.04014444444444444,0.0002835117010491071,0.039564597909567345,0.04072429097932154,0.20017891315709457,0.0003913689328105626,0.19937847381470056,0.2009793524994886,0.0,0.0,0.0,0.0,0.04087256778125107,3.6962830867657515e-05,0.0407969703039034,0.04094816525859874
