policy,requested_budget,acquired_n,acquisition_rate,decision_loss,accuracy,total_risk_with_cost,fpr,recall,fnr,decision_loss_reduction_vs_never,context_a_acquisition_rate,context_b_acquisition_rate,oracle_value_captured_per_example,seed
random,0.0,0,0.0,0.20441666666666666,0.7955833333333333,0.20441666666666666,0.20276422764227642,0.7938461538461539,0.20615384615384613,0.0,0.0,0.0,0.0,0
uncertainty,0.0,0,0.0,0.20441666666666666,0.7955833333333333,0.20441666666666666,0.20276422764227642,0.7938461538461539,0.20615384615384613,0.0,0.0,0.0,0.0,0
oracle_decision_value,0.0,0,0.0,0.20441666666666666,0.7955833333333333,0.20441666666666666,0.20276422764227642,0.7938461538461539,0.20615384615384613,0.0,0.0,0.0,0.0,0
learned_value,0.0,0,0.0,0.20441666666666666,0.7955833333333333,0.20441666666666666,0.20276422764227642,0.7938461538461539,0.20615384615384613,0.0,0.0,0.0,0.0,0
random,0.05,600,0.05,0.2,0.8,0.201,0.19772357723577236,0.7976068376068376,0.2023931623931624,0.004416666666666652,0.04800268546492111,0.05196954650777888,0.004594915250458898,0
uncertainty,0.05,600,0.05,0.19275,0.80725,0.19375,0.1902439024390244,0.8046153846153846,0.19538461538461538,0.011666666666666659,0.050016784155756965,0.04998344918901026,0.011429608211597629,0
oracle_decision_value,0.05,600,0.05,0.18175,0.81825,0.18275,0.17853658536585365,0.8148717948717948,0.18512820512820516,0.02266666666666667,0.10070493454179255,0.0,0.022091020278090946,0
learned_value,0.05,600,0.05,0.183,0.817,0.184,0.16959349593495934,0.8029059829059829,0.19709401709401708,0.021416666666666667,0.10070493454179255,0.0,0.020498094715959377,0
random,0.1,1200,0.1,0.19583333333333333,0.8041666666666667,0.19783333333333333,0.19317073170731708,0.8013675213675213,0.19863247863247868,0.008583333333333332,0.09701242027526015,0.10294604435617345,0.009363759163216604,0
uncertainty,0.1,1200,0.1,0.18183333333333335,0.8181666666666667,0.18383333333333335,0.17853658536585365,0.8147008547008547,0.18529914529914526,0.022583333333333316,0.10003356831151393,0.09996689837802052,0.021955159402395424,0
oracle_decision_value,0.1,1200,0.1,0.16325,0.83675,0.16525,0.1588617886178862,0.8321367521367521,0.1678632478632479,0.04116666666666666,0.2014098690835851,0.0,0.04083268164138519,0
learned_value,0.1,1200,0.1,0.1655,0.8345,0.1675,0.16065040650406504,0.8294017094017094,0.17059829059829057,0.038916666666666655,0.2014098690835851,0.0,0.039528426180913165,0
