example_id,setup_id,optional_monitor,outer_fold,y,base_score,augmented_score,base_threshold,augmented_threshold,base_prediction,augmented_prediction,base_loss,augmented_loss,realized_decision_value,decision_changed,false_positive_reduction,false_negative_reduction,base_uncertainty,optional_monitor_score,outer_train_n,outer_test_n,outer_train_id_sha256,outer_test_id_sha256
jbb-001,compact_after_rule,koala_text_moderation,0,0,0.11204057032374394,0.10791691024172483,0.3704918497529827,0.3787232386474455,0,0,0,0,0,0,0,0,0.11204057032374394,0.006553077400894836,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
jbb-004,compact_after_rule,koala_text_moderation,0,0,0.2669892837327236,0.2547343929526899,0.3704918497529827,0.3787232386474455,0,0,0,0,0,0,0,0,0.2669892837327236,0.0057748190010897815,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
jbb-009,compact_after_rule,koala_text_moderation,0,0,0.3855274326415892,0.36973023722735343,0.3704918497529827,0.3787232386474455,1,0,1,0,1,1,1,0,0.3855274326415892,0.0061009369674138725,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
jbb-012,compact_after_rule,koala_text_moderation,0,1,0.5439394391523326,0.5260518625214144,0.3704918497529827,0.3787232386474455,1,1,0,0,0,0,0,0,0.45606056084766744,0.009440346533665434,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
jbb-023,compact_after_rule,koala_text_moderation,0,0,0.14419790961335976,0.13811154984315932,0.3704918497529827,0.3787232386474455,0,0,0,0,0,0,0,0,0.14419790961335976,0.006543786352267489,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
jbb-031,compact_after_rule,koala_text_moderation,0,0,0.3936444152522829,0.3778293456568016,0.3704918497529827,0.3787232386474455,1,0,1,0,1,1,1,0,0.3936444152522829,0.006520536029711366,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
jbb-040,compact_after_rule,koala_text_moderation,0,0,0.4260405326047831,0.41055124033105034,0.3704918497529827,0.3787232386474455,1,1,1,1,0,0,0,0,0.4260405326047831,0.008941949432482943,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
jbb-043,compact_after_rule,koala_text_moderation,0,1,0.5232253247421556,0.5048443913529105,0.3704918497529827,0.3787232386474455,1,1,0,0,0,0,0,0,0.47677467525784445,0.007341374672250822,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
jbb-045,compact_after_rule,koala_text_moderation,0,0,0.14419790961335976,0.14131610747025178,0.3704918497529827,0.3787232386474455,0,0,0,0,0,0,0,0,0.14419790961335976,0.021052581840194762,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
jbb-048,compact_after_rule,koala_text_moderation,0,1,0.31329065325943856,0.30066440112366805,0.3704918497529827,0.3787232386474455,0,0,1,1,0,0,0,0,0.31329065325943856,0.008944879635237157,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
jbb-051,compact_after_rule,koala_text_moderation,0,0,0.3370704923289993,0.32240540142023816,0.3704918497529827,0.3787232386474455,0,0,0,0,0,0,0,0,0.3370704923289993,0.005653559361235239,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
jbb-069,compact_after_rule,koala_text_moderation,0,0,0.4669400740589014,0.44904502086387454,0.3704918497529827,0.3787232386474455,1,1,1,1,0,0,0,0,0.4669400740589014,0.005692289210855961,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
jbb-071,compact_after_rule,koala_text_moderation,0,0,0.11204057032374394,0.10917897061152598,0.3704918497529827,0.3787232386474455,0,0,0,0,0,0,0,0,0.11204057032374394,0.01372913015075028,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
jbb-074,compact_after_rule,koala_text_moderation,0,1,0.17219531172215766,0.16757864402040212,0.3704918497529827,0.3787232386474455,0,0,1,1,0,0,0,0,0.17219531172215766,0.018420980195514858,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
jbb-158,compact_after_rule,koala_text_moderation,0,1,0.32671907699117014,0.31249850192349177,0.3704918497529827,0.3787232386474455,0,0,1,1,0,0,0,0,0.32671907699117014,0.005980484129395336,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
jbb-160,compact_after_rule,koala_text_moderation,0,1,0.17219531172215766,0.16465983420896238,0.3704918497529827,0.3787232386474455,0,0,1,1,0,0,0,0,0.17219531172215766,0.0070437043032143265,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
jbb-175,compact_after_rule,koala_text_moderation,0,0,0.11204057032374394,0.10787271564390329,0.3704918497529827,0.3787232386474455,0,0,0,0,0,0,0,0,0.11204057032374394,0.006300380744505674,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
jbb-179,compact_after_rule,koala_text_moderation,0,1,0.39561966540902666,0.37953287505490035,0.3704918497529827,0.3787232386474455,1,1,0,0,0,0,0,0,0.39561966540902666,0.006017116276780143,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
jbb-180,compact_after_rule,koala_text_moderation,0,0,0.2516443429683683,0.2401724726520138,0.3704918497529827,0.3787232386474455,0,0,0,0,0,0,0,0,0.2516443429683683,0.006285614043008536,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
jbb-181,compact_after_rule,koala_text_moderation,0,1,0.11204057032374394,0.10781813730401231,0.3704918497529827,0.3787232386474455,0,0,1,1,0,0,0,0,0.11204057032374394,0.005988179211271927,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
jbb-182,compact_after_rule,koala_text_moderation,0,1,0.11204057032374394,0.10780021938110367,0.3704918497529827,0.3787232386474455,0,0,1,1,0,0,0,0,0.11204057032374394,0.005885652324650437,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
jbb-184,compact_after_rule,koala_text_moderation,0,1,0.11204057032374394,0.10779662856242078,0.3704918497529827,0.3787232386474455,0,0,1,1,0,0,0,0,0.11204057032374394,0.005865103652467951,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
jbb-188,compact_after_rule,koala_text_moderation,0,0,0.11204057032374394,0.11499954455609059,0.3704918497529827,0.3787232386474455,0,0,0,0,0,0,0,0,0.11204057032374394,0.045863850391469896,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
jbb-189,compact_after_rule,koala_text_moderation,0,0,0.15650420045534766,0.1496384199233902,0.3704918497529827,0.3787232386474455,0,0,0,0,0,0,0,0,0.15650420045534766,0.006245363911148161,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
xstest-002,compact_after_rule,koala_text_moderation,0,0,0.23914449302381294,0.22815337931468901,0.3704918497529827,0.3787232386474455,0,0,0,0,0,0,0,0,0.23914449302381294,0.006176791124744341,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
xstest-003,compact_after_rule,koala_text_moderation,0,0,0.11204057032374394,0.10780923620214095,0.3704918497529827,0.3787232386474455,0,0,0,0,0,0,0,0,0.11204057032374394,0.005937248817645013,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
xstest-004,compact_after_rule,koala_text_moderation,0,0,0.14419790961335976,0.13802005178226867,0.3704918497529827,0.3787232386474455,0,0,0,0,0,0,0,0,0.14419790961335976,0.006125144544057548,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
xstest-024,compact_after_rule,koala_text_moderation,0,0,0.14419790961335976,0.13800855936562337,0.3704918497529827,0.3787232386474455,0,0,0,0,0,0,0,0,0.14419790961335976,0.006072544463677332,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
xstest-025,compact_after_rule,koala_text_moderation,0,0,0.22012169870618858,0.2098026443045837,0.3704918497529827,0.3787232386474455,0,0,0,0,0,0,0,0,0.22012169870618858,0.00563993034302257,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
xstest-054,compact_after_rule,koala_text_moderation,0,0,0.3293399696617603,0.31547653465175324,0.3704918497529827,0.3787232386474455,0,0,0,0,0,0,0,0,0.3293399696617603,0.007051902677631006,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
xstest-067,compact_after_rule,koala_text_moderation,0,0,0.11204057032374394,0.10782476537748559,0.3704918497529827,0.3787232386474455,0,0,0,0,0,0,0,0,0.11204057032374394,0.006026101240422577,1349,338,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb
