example_id,outer_fold
jbb-001,0
jbb-002,1
jbb-003,3
jbb-004,0
jbb-006,3
jbb-008,1
jbb-009,0
jbb-010,2
jbb-011,2
jbb-012,0
jbb-013,2
jbb-014,1
jbb-015,2
jbb-016,3
jbb-018,2
jbb-019,3
jbb-020,3
jbb-021,4
jbb-022,4
jbb-023,0
jbb-024,2
jbb-026,1
jbb-027,2
jbb-029,1
jbb-030,1
jbb-031,0
jbb-032,4
jbb-033,3
jbb-034,3
jbb-035,4
jbb-037,4
jbb-039,3
jbb-040,0
jbb-041,3
jbb-042,1
jbb-043,0
jbb-044,3
jbb-045,0
jbb-046,4
jbb-047,4
jbb-048,0
jbb-049,4
jbb-051,0
jbb-052,1
jbb-055,3
jbb-056,4
jbb-058,3
jbb-062,4
jbb-063,3
jbb-064,1
jbb-066,2
jbb-068,4
jbb-069,0
jbb-070,4
jbb-071,0
jbb-072,3
jbb-074,0
jbb-075,4
jbb-076,1
jbb-077,4
jbb-078,2
jbb-079,4
jbb-080,4
jbb-081,3
jbb-082,2
jbb-083,4
jbb-084,3
jbb-085,4
jbb-086,4
jbb-088,4
jbb-089,1
jbb-090,4
jbb-091,1
jbb-092,2
jbb-094,3
jbb-095,1
jbb-096,3
jbb-098,4
jbb-099,1
jbb-150,1
jbb-155,1
jbb-156,2
jbb-157,2
jbb-158,0
jbb-159,3
jbb-160,0
jbb-161,3
jbb-162,3
jbb-164,4
jbb-165,4
jbb-166,2
jbb-168,2
jbb-169,1
jbb-170,1
jbb-171,2
jbb-172,1
jbb-173,4
jbb-174,4
jbb-175,0
jbb-176,3
jbb-177,1
jbb-179,0
jbb-180,0
jbb-181,0
jbb-182,0
jbb-183,1
jbb-184,0
jbb-185,1
jbb-187,3
jbb-188,0
jbb-189,0
jbb-190,1
jbb-191,3
jbb-192,4
jbb-193,4
jbb-194,4
jbb-195,4
jbb-196,4
jbb-197,2
jbb-199,2
wildguard-0000,3
wildguard-0001,0
wildguard-0005,1
wildguard-0007,0
wildguard-0008,4
wildguard-0009,1
wildguard-0010,1
wildguard-0011,3
wildguard-0012,0
wildguard-0013,1
wildguard-0015,1
wildguard-0017,4
wildguard-0020,4
wildguard-0021,2
wildguard-0023,2
wildguard-0025,1
wildguard-0026,4
wildguard-0027,4
wildguard-0028,3
wildguard-0030,2
wildguard-0031,4
wildguard-0033,1
wildguard-0034,2
wildguard-0035,0
wildguard-0036,0
wildguard-0037,3
wildguard-0038,1
wildguard-0040,4
wildguard-0041,1
wildguard-0042,3
wildguard-0043,3
wildguard-0044,0
wildguard-0045,4
wildguard-0046,2
wildguard-0047,2
wildguard-0048,4
wildguard-0049,3
wildguard-0050,2
wildguard-0051,0
wildguard-0052,1
wildguard-0053,4
wildguard-0054,4
wildguard-0055,0
wildguard-0056,0
wildguard-0057,4
wildguard-0058,4
wildguard-0059,2
wildguard-0060,4
wildguard-0061,0
wildguard-0062,1
wildguard-0063,0
wildguard-0064,3
wildguard-0065,4
wildguard-0066,1
wildguard-0067,1
wildguard-0068,4
wildguard-0069,4
wildguard-0070,0
wildguard-0072,2
wildguard-0073,3
wildguard-0076,3
wildguard-0078,1
wildguard-0080,0
wildguard-0082,2
wildguard-0084,4
wildguard-0088,4
wildguard-0090,3
wildguard-0091,0
wildguard-0093,4
wildguard-0096,2
wildguard-0097,1
wildguard-0098,0
wildguard-0099,0
wildguard-0100,1
wildguard-0101,4
wildguard-0102,1
wildguard-0103,2
wildguard-0104,1
wildguard-0105,3
wildguard-0106,1
wildguard-0107,2
wildguard-0108,4
wildguard-0109,3
wildguard-0110,4
wildguard-0111,2
wildguard-0112,0
wildguard-0113,2
wildguard-0114,1
wildguard-0115,2
wildguard-0117,1
wildguard-0119,4
wildguard-0121,3
wildguard-0122,4
wildguard-0123,3
wildguard-0124,3
wildguard-0125,1
wildguard-0126,1
wildguard-0128,3
wildguard-0130,1
wildguard-0133,4
wildguard-0134,0
wildguard-0135,4
wildguard-0136,3
wildguard-0137,3
wildguard-0138,2
wildguard-0140,1
wildguard-0142,1
wildguard-0143,4
wildguard-0145,2
wildguard-0146,2
wildguard-0148,2
wildguard-0149,1
wildguard-0150,0
wildguard-0151,1
wildguard-0153,3
wildguard-0154,0
wildguard-0155,1
wildguard-0156,3
wildguard-0157,2
wildguard-0158,0
