batch_index,start_chunk,stop_chunk_exclusive,batch_chunk_n,batch_content_token_n,elapsed_seconds,per_chunk_ms
0,0,32,32,5823,2.5439970539996466,79.49990793748896
1,32,64,32,6168,2.3153565829998115,72.35489321874411
2,64,96,32,6763,2.3177892460003022,72.43091393750944
3,96,128,32,5790,2.2497043719999965,70.30326162499989
4,128,160,32,5277,2.1873347330001707,68.35421040625533
5,160,192,32,6078,2.1760832899999514,68.00260281249848
6,192,224,32,5847,2.186214382000344,68.31919943751075
7,224,256,32,5413,2.391370453000036,74.73032665625112
8,256,288,32,6184,2.438946278000003,76.2170711875001
9,288,320,32,6439,2.3586413879997963,73.70754337499363
10,320,352,32,6859,2.455384378999952,76.7307618437485
11,352,384,32,6742,2.450782097999763,76.5869405624926
12,384,416,32,6846,2.5254652990001887,78.9207905937559
13,416,448,32,6878,2.4441650940002546,76.38015918750796
14,448,480,32,6513,2.5167602889996488,78.64875903123902
15,480,512,32,7282,2.445044806000169,76.40765018750528
16,512,544,32,6622,2.6952089440001146,84.22527950000358
17,544,576,32,6871,2.5733541139998124,80.41731606249414
18,576,608,32,7306,2.3086172610001086,72.14428940625339
19,608,640,32,6976,2.1242590760002713,66.38309612500848
20,640,672,32,6543,2.1860051070002555,68.31265959375799
21,672,704,32,6443,2.307965263999904,72.123914499997
22,704,736,32,5020,2.2350574799997958,69.84554624999362
23,736,768,32,3925,2.2360153399999945,69.87547937499983
24,768,800,32,6062,2.3501321879998613,73.44163087499567
25,800,832,32,6553,2.2685961440001847,70.89362950000577
26,832,864,32,6086,2.437734342999647,76.17919821873897
27,864,896,32,6295,2.289277777999814,71.53993056249419
28,896,928,32,5506,2.2074269280001317,68.98209150000412
29,928,960,32,5087,2.3999314949996915,74.99785921874036
30,960,992,32,6011,2.9185192969998752,91.2037280312461
31,992,1024,32,6014,2.269733861000077,70.9291831562524
32,1024,1056,32,6329,2.350259231999644,73.44560099998887
33,1056,1088,32,5920,2.2831181589999687,71.34744246874902
34,1088,1120,32,7262,2.32884913099997,72.77653534374906
35,1120,1152,32,7007,2.2387013039997328,69.95941574999165
36,1152,1184,32,6602,2.16494910099982,67.65465940624438
37,1184,1216,32,7056,2.1823655370003507,68.19892303126096
38,1216,1248,32,6921,2.4225023270000747,75.70319771875234
39,1248,1280,32,6953,2.4874149170000237,77.73171615625074
40,1280,1312,32,7210,2.3701304569999593,74.06657678124873
41,1312,1344,32,7048,2.4625562480000553,76.95488275000173
42,1344,1376,32,6007,2.3568647239999336,73.65202262499793
43,1376,1408,32,6417,2.3721420169999874,74.1294380312496
44,1408,1440,32,6192,2.3513272909999614,73.4789778437488
45,1440,1472,32,4107,2.4268944569998894,75.84045178124654
46,1472,1504,32,4406,2.37981446699996,74.36920209374875
47,1504,1536,32,7059,2.2739315740000166,71.06036168750052
48,1536,1568,32,6353,2.2355846390000806,69.86201996875252
49,1568,1600,32,6010,2.1465468199999123,67.07958812499726
50,1600,1632,32,5233,2.5160283329996673,78.6258854062396
51,1632,1664,32,6051,2.4339641409997057,76.0613794062408
52,1664,1696,32,5537,2.564479680000204,80.13999000000638
53,1696,1728,32,5897,2.2105154470000343,69.07860771875107
54,1728,1760,32,6154,2.2045038050000585,68.89074390625183
55,1760,1792,32,6874,2.2281093560000045,69.62841737500014
56,1792,1824,32,6785,2.2353383879999456,69.8543246249983
57,1824,1856,32,7251,2.3449042009997356,73.27825628124174
58,1856,1888,32,6501,2.362446996000017,73.82646862500053
59,1888,1920,32,6805,2.2730131840003196,71.03166200000999
60,1920,1952,32,6833,2.3477484519999052,73.36713912499704
61,1952,1984,32,6529,2.2841013620000012,71.37816756250004
62,1984,2016,32,7068,2.278330009000001,71.19781278125004
63,2016,2048,32,5844,3.238686881999911,101.20896506249721
64,2048,2080,32,6507,2.4965686059999825,78.01776893749945
65,2080,2112,32,6397,2.3629090609997547,73.84090815624234
66,2112,2144,32,5230,2.3707058339996365,74.08455731248864
67,2144,2176,32,3856,2.3974555390000205,74.92048559375064
68,2176,2208,32,5043,2.3977734630002487,74.93042071875777
69,2208,2240,32,6722,2.4809221949999483,77.52881859374838
70,2240,2272,32,6179,2.175813240000025,67.99416375000078
71,2272,2304,32,6213,2.234695786999964,69.83424334374888
72,2304,2336,32,5734,2.2784297580001294,71.20092993750404
73,2336,2368,32,5256,2.224450935999812,69.51409174999412
74,2368,2400,32,6166,2.29081220199987,71.58788131249594
75,2400,2432,32,5340,2.3019203529997867,71.93501103124333
76,2432,2464,32,5767,2.3167404349997014,72.39813859374067
77,2464,2496,32,6069,2.3311158080000496,72.84736900000155
78,2496,2528,32,6872,2.470216015999995,77.19425049999984
79,2528,2560,32,6807,2.50322396699994,78.22574896874812
80,2560,2592,32,6344,2.3565327019996403,73.64164693748876
81,2592,2624,32,6584,2.425332702000105,75.79164693750329
82,2624,2656,32,6305,2.663983471999927,83.24948349999772
83,2656,2688,32,6740,2.2640303150001273,70.75094734375398
84,2688,2720,32,6464,2.2039460169999074,68.87331303124711
85,2720,2752,32,7010,2.421389862999604,75.66843321873762
86,2752,2784,32,6601,2.234293278000223,69.82166493750697
87,2784,2816,32,6837,2.2300283950003177,69.68838734375993
88,2816,2848,32,5292,2.272930965999876,71.02909268749613
89,2848,2880,32,4279,2.196945479000078,68.65454621875244
90,2880,2912,32,3960,2.3854057020002983,74.54392818750932
91,2912,2944,32,6884,2.1983061420000922,68.69706693750288
92,2944,2976,32,6610,2.443103951000012,76.34699846875037
93,2976,3008,32,6391,2.3358025150000685,72.99382859375214
94,3008,3040,32,5818,2.290907764000167,71.59086762500522
95,3040,3072,32,5512,2.567025552999894,80.21954853124669
96,3072,3104,32,5771,2.2780050339997615,71.18765731249255
97,3104,3136,32,6150,2.232635212000332,69.76985037501038
98,3136,3168,32,5200,2.088326289000179,65.26019653125559
99,3168,3200,32,6335,2.2444190820001495,70.13809631250467
100,3200,3232,32,6734,2.2634987399997044,70.73433562499076
