setup_id,value_outer_fold,outer_train_n,outer_eval_n,base_threshold,augmented_threshold,base_inner_oof_fpr,base_inner_oof_recall,augmented_inner_oof_fpr,augmented_inner_oof_recall,mean_realized_decision_value,positive_value_n,zero_value_n,negative_value_n,decision_change_rate,outer_train_id_sha256,outer_eval_id_sha256,downstream_inner_fold_assignment_sha256,base_model_random_state,augmented_model_random_state
compact_after_rule,0,1349,338,0.3704918497529827,0.3787232386474455,0.0492831541218638,0.2145922746781116,0.04838709677419355,0.2145922746781116,0.0007412898443291327,16,1318,15,0.022979985174203115,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb,945a6330dbec277947f07655c10a59cf041b05e3d2f8819957aaa47ad071f2da,20260730,20260730
qwen_after_rule_compact,0,1349,338,0.36420158337704,0.2269180350399603,0.047491039426523295,0.23605150214592274,0.0492831541218638,0.8798283261802575,0.10971089696071164,199,1099,51,0.18532246108228317,1d06b950a5a4d02a1dac01cb5385a61287f256e844e3ea490d5c256a2ae23ffd,ae0a507bd535b28ce0eb88c972accccd87b95e1f7b7c308c9dcc2ecd1e3310eb,a35db3785f39b6c0e64bb948a2f4a9087d1b873eb31cdeb1aa579af6fd620a82,20270730,20270730
compact_after_rule,1,1350,337,0.37927951012159067,0.38112781969703863,0.047448522829006266,0.22746781115879827,0.047448522829006266,0.22746781115879827,0.0,7,1336,7,0.01037037037037037,a236fbee4eff1aa889f7f95ffb88b104285107c06ac9fd1955e6fb5ba66a7254,b8d45606d9d102b2a567db1bc821c20dbd39aec55875001b58a556c35ed6ddf1,013159274502c784f6a50a31705d8175adf6f6eea94e8a756340ede12fef1fd8,20260830,20260830
qwen_after_rule_compact,1,1350,337,0.37724151845808596,0.2293745951419003,0.049239033124440466,0.24034334763948498,0.045658012533572066,0.8884120171673819,0.11481481481481481,204,1097,49,0.1874074074074074,a236fbee4eff1aa889f7f95ffb88b104285107c06ac9fd1955e6fb5ba66a7254,b8d45606d9d102b2a567db1bc821c20dbd39aec55875001b58a556c35ed6ddf1,e4cd6e2b7c594a2a28d115a2621965cd46f3d52910fead51e728947d1dc1ba65,20270830,20270830
compact_after_rule,2,1350,337,0.37020583594018325,0.3779231205192355,0.048343777976723366,0.21030042918454936,0.044762757385854966,0.2145922746781116,0.003703703703703704,15,1325,10,0.018518518518518517,518e35b30ff2bcc60a1a579b73773e31929ef7e26d6da9750df48ed6c31edb18,d1545b0a79b53dd8ce7bc317d647919af2cfd9921ee03f10872cc67e1095fc3d,fd3dd5d7c599605f31541993891c19d39f71230c20f4f6f01d16f540cb65c0c2,20260930,20260930
qwen_after_rule_compact,2,1350,337,0.365069456872615,0.27162918692034393,0.049239033124440466,0.22746781115879827,0.049239033124440466,0.8626609442060086,0.10962962962962963,197,1104,49,0.18222222222222223,518e35b30ff2bcc60a1a579b73773e31929ef7e26d6da9750df48ed6c31edb18,d1545b0a79b53dd8ce7bc317d647919af2cfd9921ee03f10872cc67e1095fc3d,4fb12bbc694bcd0514583adcead57032ca3297422c6c57d640749a0f99cdf72e,20270930,20270930
compact_after_rule,3,1350,337,0.36552413650318694,0.3738146407458198,0.049239033124440466,0.20600858369098712,0.046553267681289166,0.21030042918454936,0.002962962962962963,13,1328,9,0.016296296296296295,496da57074a888a25766a3b1d983a4b0b084f591acfea5793fedabed4bcdb98b,95838d317ec9037a94f729ac7528197708e16349d895f372cd13758cd02c4ca1,721ececbde103332b1d487bcc20c7f101167f3f4042adbaae6a914f84d2dd87a,20261030,20261030
qwen_after_rule_compact,3,1350,337,0.37862194384930303,0.2705425692306039,0.049239033124440466,0.20600858369098712,0.048343777976723366,0.8540772532188842,0.11259259259259259,200,1102,48,0.1837037037037037,496da57074a888a25766a3b1d983a4b0b084f591acfea5793fedabed4bcdb98b,95838d317ec9037a94f729ac7528197708e16349d895f372cd13758cd02c4ca1,5e6f589735fee5e59b364aabd84095a26e61237b96c39d6d5c157621a4368f36,20271030,20271030
compact_after_rule,4,1349,338,0.3705778276428254,0.38089730165003227,0.049239033124440466,0.20689655172413793,0.048343777976723366,0.22844827586206898,0.004447739065974796,18,1319,12,0.02223869532987398,02508bd73c9f2d5e36a5ffdfd67239d77f3cd479b1f5474df837bad99df1ed78,0f6131f3c22fc2066c35bf3ecd243696acfb6addd336e53e6c8a8fe692e652d2,e26d65cc1681c8a8f0f4d6c36b93458d3f2a80edb5c24143d64cef87e66e0a7a,20261130,20261130
qwen_after_rule_compact,4,1349,338,0.3880181780256296,0.24622508270549162,0.046553267681289166,0.22844827586206898,0.048343777976723366,0.8663793103448276,0.10822831727205337,197,1101,51,0.18383988139362492,02508bd73c9f2d5e36a5ffdfd67239d77f3cd479b1f5474df837bad99df1ed78,0f6131f3c22fc2066c35bf3ecd243696acfb6addd336e53e6c8a8fe692e652d2,eaf21bb6dba56d86d2ca2473085c7783899bae4498bd32518afcad781176324f,20271130,20271130
