label_condition,label_column,grouping_condition,group_column,seed,example_id,source_dataset,fold,role
audited,y,dependency_primary,primary_dependency_group,1729,jbb-001,jailbreakbench_judge_comparison,2,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-002,jailbreakbench_judge_comparison,3,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-003,jailbreakbench_judge_comparison,2,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-004,jailbreakbench_judge_comparison,3,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-006,jailbreakbench_judge_comparison,1,internal_risk_holdout
audited,y,dependency_primary,primary_dependency_group,1729,jbb-008,jailbreakbench_judge_comparison,2,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-009,jailbreakbench_judge_comparison,1,internal_risk_holdout
audited,y,dependency_primary,primary_dependency_group,1729,jbb-010,jailbreakbench_judge_comparison,1,internal_risk_holdout
audited,y,dependency_primary,primary_dependency_group,1729,jbb-011,jailbreakbench_judge_comparison,1,internal_risk_holdout
audited,y,dependency_primary,primary_dependency_group,1729,jbb-012,jailbreakbench_judge_comparison,2,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-013,jailbreakbench_judge_comparison,3,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-014,jailbreakbench_judge_comparison,2,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-015,jailbreakbench_judge_comparison,2,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-016,jailbreakbench_judge_comparison,1,internal_risk_holdout
audited,y,dependency_primary,primary_dependency_group,1729,jbb-018,jailbreakbench_judge_comparison,1,internal_risk_holdout
audited,y,dependency_primary,primary_dependency_group,1729,jbb-019,jailbreakbench_judge_comparison,1,internal_risk_holdout
audited,y,dependency_primary,primary_dependency_group,1729,jbb-020,jailbreakbench_judge_comparison,2,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-021,jailbreakbench_judge_comparison,2,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-022,jailbreakbench_judge_comparison,1,internal_risk_holdout
audited,y,dependency_primary,primary_dependency_group,1729,jbb-023,jailbreakbench_judge_comparison,1,internal_risk_holdout
audited,y,dependency_primary,primary_dependency_group,1729,jbb-024,jailbreakbench_judge_comparison,2,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-026,jailbreakbench_judge_comparison,3,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-027,jailbreakbench_judge_comparison,3,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-029,jailbreakbench_judge_comparison,2,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-030,jailbreakbench_judge_comparison,3,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-031,jailbreakbench_judge_comparison,0,policy_selection
audited,y,dependency_primary,primary_dependency_group,1729,jbb-032,jailbreakbench_judge_comparison,2,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-033,jailbreakbench_judge_comparison,2,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-034,jailbreakbench_judge_comparison,3,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-035,jailbreakbench_judge_comparison,2,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-037,jailbreakbench_judge_comparison,3,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-039,jailbreakbench_judge_comparison,1,internal_risk_holdout
audited,y,dependency_primary,primary_dependency_group,1729,jbb-040,jailbreakbench_judge_comparison,1,internal_risk_holdout
audited,y,dependency_primary,primary_dependency_group,1729,jbb-041,jailbreakbench_judge_comparison,3,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-042,jailbreakbench_judge_comparison,2,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-043,jailbreakbench_judge_comparison,1,internal_risk_holdout
audited,y,dependency_primary,primary_dependency_group,1729,jbb-044,jailbreakbench_judge_comparison,2,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-045,jailbreakbench_judge_comparison,3,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-046,jailbreakbench_judge_comparison,1,internal_risk_holdout
audited,y,dependency_primary,primary_dependency_group,1729,jbb-047,jailbreakbench_judge_comparison,0,policy_selection
audited,y,dependency_primary,primary_dependency_group,1729,jbb-048,jailbreakbench_judge_comparison,2,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-049,jailbreakbench_judge_comparison,1,internal_risk_holdout
audited,y,dependency_primary,primary_dependency_group,1729,jbb-051,jailbreakbench_judge_comparison,2,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-052,jailbreakbench_judge_comparison,3,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-055,jailbreakbench_judge_comparison,2,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-056,jailbreakbench_judge_comparison,2,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-058,jailbreakbench_judge_comparison,3,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-062,jailbreakbench_judge_comparison,2,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-063,jailbreakbench_judge_comparison,2,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-064,jailbreakbench_judge_comparison,3,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-066,jailbreakbench_judge_comparison,2,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-068,jailbreakbench_judge_comparison,3,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-069,jailbreakbench_judge_comparison,1,internal_risk_holdout
audited,y,dependency_primary,primary_dependency_group,1729,jbb-070,jailbreakbench_judge_comparison,1,internal_risk_holdout
audited,y,dependency_primary,primary_dependency_group,1729,jbb-071,jailbreakbench_judge_comparison,1,internal_risk_holdout
audited,y,dependency_primary,primary_dependency_group,1729,jbb-072,jailbreakbench_judge_comparison,3,policy_train
audited,y,dependency_primary,primary_dependency_group,1729,jbb-074,jailbreakbench_judge_comparison,1,internal_risk_holdout
