label_condition,label_column,grouping_condition,group_column,seed,stack,policy_kind,target_rate,deployable,acquisition_threshold,decision_threshold,selection_acquisition_rate,holdout_acquisition_rate,selection_n,selection_recall,selection_fpr,holdout_n,holdout_positive_n,holdout_negative_n,holdout_tp,holdout_fn,holdout_fp,holdout_tn,holdout_recall,holdout_fpr,holdout_precision,holdout_intercept_rate,holdout_row_fpr_upper95,holdout_negative_dependency_groups,holdout_failed_dependency_groups,holdout_dependency_group_event_rate,holdout_dependency_group_event_upper95,primary_risk_gate_pass
audited,y,dependency_primary,primary_dependency_group,1729,rule_to_compact,cheap_only,,True,,0.27527507015033825,0.0,0.0,428,0.35443037974683544,0.04871060171919771,420,71,349,16,55,35,314,0.22535211267605634,0.10028653295128939,0.3137254901960784,0.12142857142857143,0.13076132938123652,347,35,0.10086455331412104,0.13150205052075944,False
audited,y,dependency_primary,primary_dependency_group,1729,rule_to_compact,full_information,,True,,0.28163923752772757,1.0,1.0,428,0.34177215189873417,0.04871060171919771,420,71,349,16,55,35,314,0.22535211267605634,0.10028653295128939,0.3137254901960784,0.12142857142857143,0.13076132938123652,347,35,0.10086455331412104,0.13150205052075944,False
audited,y,dependency_primary,primary_dependency_group,1729,rule_to_compact,selective_deployable,0.1,True,0.21888244779390553,0.27527507015033825,0.10046728971962617,0.11428571428571428,428,0.35443037974683544,0.04871060171919771,420,71,349,16,55,35,314,0.22535211267605634,0.10028653295128939,0.3137254901960784,0.12142857142857143,0.13076132938123652,347,35,0.10086455331412104,0.13150205052075944,False
audited,y,dependency_primary,primary_dependency_group,1729,rule_to_compact,offline_ranked_diagnostic,0.1,False,,0.27527507015033825,0.10046728971962617,0.1,428,0.35443037974683544,0.04871060171919771,420,71,349,16,55,35,314,0.22535211267605634,0.10028653295128939,0.3137254901960784,0.12142857142857143,0.13076132938123652,347,35,0.10086455331412104,0.13150205052075944,False
audited,y,dependency_primary,primary_dependency_group,1729,rule_to_compact,selective_deployable,0.25,True,0.3345110359855733,0.28163923752772757,0.26869158878504673,0.3047619047619048,428,0.34177215189873417,0.04871060171919771,420,71,349,16,55,33,316,0.22535211267605634,0.09455587392550144,0.32653061224489793,0.11666666666666667,0.12439292439465133,347,33,0.09510086455331412,0.12509790712815239,False
audited,y,dependency_primary,primary_dependency_group,1729,rule_to_compact,offline_ranked_diagnostic,0.25,False,,0.28163923752772757,0.25,0.25,428,0.34177215189873417,0.04871060171919771,420,71,349,16,55,31,318,0.22535211267605634,0.08882521489971347,0.3404255319148936,0.11190476190476191,0.1179965939509764,347,31,0.0893371757925072,0.11866565196619495,False
audited,y,dependency_primary,primary_dependency_group,1729,rule_to_compact,selective_deployable,0.5,True,0.3788306421336455,0.28163923752772757,1.0,1.0,428,0.34177215189873417,0.04871060171919771,420,71,349,16,55,35,314,0.22535211267605634,0.10028653295128939,0.3137254901960784,0.12142857142857143,0.13076132938123652,347,35,0.10086455331412104,0.13150205052075944,False
audited,y,dependency_primary,primary_dependency_group,1729,rule_to_compact,offline_ranked_diagnostic,0.5,False,,0.28163923752772757,0.5,0.5,428,0.34177215189873417,0.04871060171919771,420,71,349,16,55,35,314,0.22535211267605634,0.10028653295128939,0.3137254901960784,0.12142857142857143,0.13076132938123652,347,35,0.10086455331412104,0.13150205052075944,False
audited,y,dependency_primary,primary_dependency_group,1729,compact_to_qwen,cheap_only,,True,,0.16751394939059142,0.0,0.0,428,0.11392405063291139,0.04297994269340974,420,71,349,13,58,17,332,0.18309859154929578,0.04871060171919771,0.43333333333333335,0.07142857142857142,0.0721711346734761,347,17,0.04899135446685879,0.0725819148103667,False
audited,y,dependency_primary,primary_dependency_group,1729,compact_to_qwen,full_information,,True,,0.27918314152718254,1.0,1.0,428,0.8481012658227848,0.04871060171919771,420,71,349,62,9,14,335,0.8732394366197183,0.04011461318051576,0.8157894736842105,0.18095238095238095,0.06200219374162649,347,14,0.040345821325648415,0.06235543281596552,False
audited,y,dependency_primary,primary_dependency_group,1729,compact_to_qwen,selective_deployable,0.1,True,0.33366633350716274,0.1660626955539586,0.10046728971962617,0.10238095238095238,428,0.16455696202531644,0.034383954154727794,420,71,349,23,48,9,340,0.323943661971831,0.025787965616045846,0.71875,0.0761904761904762,0.04456857254031658,347,9,0.025936599423631124,0.044822948705678975,True
audited,y,dependency_primary,primary_dependency_group,1729,compact_to_qwen,offline_ranked_diagnostic,0.1,False,,0.1660626955539586,0.10046728971962617,0.1,428,0.16455696202531644,0.034383954154727794,420,71,349,23,48,9,340,0.323943661971831,0.025787965616045846,0.71875,0.0761904761904762,0.04456857254031658,347,9,0.025936599423631124,0.044822948705678975,True
