policy_a,policy_b,direct_mean_difference_ms,component_mean_difference_ms,ranking_reversal
compact_to_qwen::cheap_only,compact_to_qwen::full_information,-1477.39635269146,-1477.172026093664,False
compact_to_qwen::cheap_only,compact_to_qwen::selective_deployable::0.10,-129.50797411019283,-129.48461547658403,False
compact_to_qwen::cheap_only,compact_to_qwen::selective_deployable::0.25,-373.0791876611571,-373.021244707989,False
compact_to_qwen::cheap_only,compact_to_qwen::selective_deployable::0.50,-712.0595758842975,-711.9535154214876,False
compact_to_qwen::cheap_only,rule_compact_to_qwen::cheap_only,0.5774660330578598,0.5941516308539931,False
compact_to_qwen::cheap_only,rule_compact_to_qwen::full_information,-1478.2582742809916,-1478.0114277768596,False
compact_to_qwen::cheap_only,rule_compact_to_qwen::selective_deployable::0.10,-228.2156177630854,-228.16452284848486,False
compact_to_qwen::cheap_only,rule_compact_to_qwen::selective_deployable::0.25,-539.4175796528925,-539.3242556225895,False
compact_to_qwen::cheap_only,rule_compact_to_qwen::selective_deployable::0.50,-859.0512805564738,-858.9067047906336,False
compact_to_qwen::cheap_only,rule_to_compact::cheap_only,44.674568325068876,44.64114205785123,False
compact_to_qwen::cheap_only,rule_to_compact::full_information,1.748778267217638,1.7607788650137621,False
compact_to_qwen::cheap_only,rule_to_compact::selective_deployable::0.10,37.20779458402204,37.182046595041314,False
compact_to_qwen::cheap_only,rule_to_compact::selective_deployable::0.25,27.0521410385675,27.030284636363632,False
compact_to_qwen::cheap_only,rule_to_compact::selective_deployable::0.50,0.06285960055097917,0.07333591460054834,False
compact_to_qwen::full_information,compact_to_qwen::selective_deployable::0.10,1347.888378581267,1347.6874106170799,False
compact_to_qwen::full_information,compact_to_qwen::selective_deployable::0.25,1104.317165030303,1104.150781385675,False
compact_to_qwen::full_information,compact_to_qwen::selective_deployable::0.50,765.3367768071624,765.2185106721763,False
compact_to_qwen::full_information,rule_compact_to_qwen::cheap_only,1477.9738187245177,1477.766177724518,False
compact_to_qwen::full_information,rule_compact_to_qwen::full_information,-0.8619215895316756,-0.8394016831955469,False
compact_to_qwen::full_information,rule_compact_to_qwen::selective_deployable::0.10,1249.1807349283745,1249.0075032451791,False
compact_to_qwen::full_information,rule_compact_to_qwen::selective_deployable::0.25,937.9787730385674,937.8477704710745,False
compact_to_qwen::full_information,rule_compact_to_qwen::selective_deployable::0.50,618.3450721349861,618.2653213030303,False
compact_to_qwen::full_information,rule_to_compact::cheap_only,1522.0709210165287,1521.8131681515151,False
compact_to_qwen::full_information,rule_to_compact::full_information,1479.1451309586776,1478.9328049586777,False
compact_to_qwen::full_information,rule_to_compact::selective_deployable::0.10,1514.6041472754819,1514.3540726887052,False
compact_to_qwen::full_information,rule_to_compact::selective_deployable::0.25,1504.4484937300274,1504.2023107300276,False
compact_to_qwen::full_information,rule_to_compact::selective_deployable::0.50,1477.459212292011,1477.2453620082645,False
compact_to_qwen::selective_deployable::0.10,compact_to_qwen::selective_deployable::0.25,-243.57121355096427,-243.536629231405,False
compact_to_qwen::selective_deployable::0.10,compact_to_qwen::selective_deployable::0.50,-582.5516017741047,-582.4688999449036,False
compact_to_qwen::selective_deployable::0.10,rule_compact_to_qwen::cheap_only,130.08544014325068,130.078767107438,False
compact_to_qwen::selective_deployable::0.10,rule_compact_to_qwen::full_information,-1348.7503001707987,-1348.5268123002754,False
compact_to_qwen::selective_deployable::0.10,rule_compact_to_qwen::selective_deployable::0.10,-98.70764365289256,-98.67990737190084,False
compact_to_qwen::selective_deployable::0.10,rule_compact_to_qwen::selective_deployable::0.25,-409.9096055426997,-409.8396401460054,False
compact_to_qwen::selective_deployable::0.10,rule_compact_to_qwen::selective_deployable::0.50,-729.5433064462809,-729.4220893140496,False
compact_to_qwen::selective_deployable::0.10,rule_to_compact::cheap_only,174.1825424352617,174.12575753443528,False
compact_to_qwen::selective_deployable::0.10,rule_to_compact::full_information,131.25675237741046,131.2453943415978,False
compact_to_qwen::selective_deployable::0.10,rule_to_compact::selective_deployable::0.10,166.71576869421486,166.66666207162535,False
compact_to_qwen::selective_deployable::0.10,rule_to_compact::selective_deployable::0.25,156.5601151487603,156.51490011294766,False
compact_to_qwen::selective_deployable::0.10,rule_to_compact::selective_deployable::0.50,129.57083371074378,129.5579513911846,False
compact_to_qwen::selective_deployable::0.25,compact_to_qwen::selective_deployable::0.50,-338.9803882231404,-338.9322707134986,False
compact_to_qwen::selective_deployable::0.25,rule_compact_to_qwen::cheap_only,373.6566536942149,373.615396338843,False
compact_to_qwen::selective_deployable::0.25,rule_compact_to_qwen::full_information,-1105.1790866198344,-1104.9901830688705,False
compact_to_qwen::selective_deployable::0.25,rule_compact_to_qwen::selective_deployable::0.10,144.86356989807172,144.85672185950415,False
compact_to_qwen::selective_deployable::0.25,rule_compact_to_qwen::selective_deployable::0.25,-166.33839199173542,-166.30301091460046,False
compact_to_qwen::selective_deployable::0.25,rule_compact_to_qwen::selective_deployable::0.50,-485.9720928953167,-485.8854600826446,False
compact_to_qwen::selective_deployable::0.25,rule_to_compact::cheap_only,417.753755986226,417.66238676584027,False
compact_to_qwen::selective_deployable::0.25,rule_to_compact::full_information,374.82796592837474,374.7820235730028,False
compact_to_qwen::selective_deployable::0.25,rule_to_compact::selective_deployable::0.10,410.28698224517916,410.2032913030303,False
compact_to_qwen::selective_deployable::0.25,rule_to_compact::selective_deployable::0.25,400.1313286997246,400.0515293443527,False
compact_to_qwen::selective_deployable::0.25,rule_to_compact::selective_deployable::0.50,373.14204726170806,373.09458062258955,False
compact_to_qwen::selective_deployable::0.50,rule_compact_to_qwen::cheap_only,712.6370419173553,712.5476670523416,False
compact_to_qwen::selective_deployable::0.50,rule_compact_to_qwen::full_information,-766.1986983966941,-766.0579123553719,False
