example_index,example_id,measurement_order_position,policy_id
0,jbb-165,0,rule_to_compact::cheap_only
0,jbb-165,1,rule_to_compact::full_information
0,jbb-165,2,rule_to_compact::selective_deployable::0.10
0,jbb-165,3,rule_to_compact::selective_deployable::0.25
0,jbb-165,4,rule_to_compact::selective_deployable::0.50
0,jbb-165,5,compact_to_qwen::cheap_only
0,jbb-165,6,compact_to_qwen::full_information
0,jbb-165,7,compact_to_qwen::selective_deployable::0.10
0,jbb-165,8,compact_to_qwen::selective_deployable::0.25
0,jbb-165,9,compact_to_qwen::selective_deployable::0.50
0,jbb-165,10,rule_compact_to_qwen::cheap_only
0,jbb-165,11,rule_compact_to_qwen::full_information
0,jbb-165,12,rule_compact_to_qwen::selective_deployable::0.10
0,jbb-165,13,rule_compact_to_qwen::selective_deployable::0.25
0,jbb-165,14,rule_compact_to_qwen::selective_deployable::0.50
1,jbb-172,0,rule_to_compact::full_information
1,jbb-172,1,rule_to_compact::selective_deployable::0.10
1,jbb-172,2,rule_to_compact::selective_deployable::0.25
1,jbb-172,3,rule_to_compact::selective_deployable::0.50
1,jbb-172,4,compact_to_qwen::cheap_only
1,jbb-172,5,compact_to_qwen::full_information
1,jbb-172,6,compact_to_qwen::selective_deployable::0.10
1,jbb-172,7,compact_to_qwen::selective_deployable::0.25
1,jbb-172,8,compact_to_qwen::selective_deployable::0.50
1,jbb-172,9,rule_compact_to_qwen::cheap_only
1,jbb-172,10,rule_compact_to_qwen::full_information
1,jbb-172,11,rule_compact_to_qwen::selective_deployable::0.10
1,jbb-172,12,rule_compact_to_qwen::selective_deployable::0.25
1,jbb-172,13,rule_compact_to_qwen::selective_deployable::0.50
1,jbb-172,14,rule_to_compact::cheap_only
2,jbb-089,0,rule_to_compact::selective_deployable::0.10
2,jbb-089,1,rule_to_compact::selective_deployable::0.25
2,jbb-089,2,rule_to_compact::selective_deployable::0.50
2,jbb-089,3,compact_to_qwen::cheap_only
2,jbb-089,4,compact_to_qwen::full_information
2,jbb-089,5,compact_to_qwen::selective_deployable::0.10
2,jbb-089,6,compact_to_qwen::selective_deployable::0.25
2,jbb-089,7,compact_to_qwen::selective_deployable::0.50
2,jbb-089,8,rule_compact_to_qwen::cheap_only
2,jbb-089,9,rule_compact_to_qwen::full_information
2,jbb-089,10,rule_compact_to_qwen::selective_deployable::0.10
2,jbb-089,11,rule_compact_to_qwen::selective_deployable::0.25
2,jbb-089,12,rule_compact_to_qwen::selective_deployable::0.50
2,jbb-089,13,rule_to_compact::cheap_only
2,jbb-089,14,rule_to_compact::full_information
3,jbb-018,0,rule_to_compact::selective_deployable::0.25
3,jbb-018,1,rule_to_compact::selective_deployable::0.50
3,jbb-018,2,compact_to_qwen::cheap_only
3,jbb-018,3,compact_to_qwen::full_information
