policy_id,stack,policy_kind,target_rate,runtime_acquisition_rate,reference_acquisition_rate,route_match_rate,prediction_match_rate,direct_n,direct_mean_ms,direct_std_ms,direct_min_ms,direct_p50_ms,direct_p90_ms,direct_p95_ms,direct_p99_ms,direct_max_ms,component_n,component_mean_ms,component_std_ms,component_min_ms,component_p50_ms,component_p90_ms,component_p95_ms,component_p99_ms,component_max_ms,mean_unattributed_overhead_ms,mean_direct_minus_component_ms
compact_to_qwen::cheap_only,compact_to_qwen,cheap_only,,0.0,0.0,1.0,1.0,363,45.75743265840221,21.586647783137273,20.457107,39.280075,79.4251554,80.0627336,81.38943222,84.712622,363,45.69631472176308,21.579675227943458,20.420937,39.231184,79.3325694,79.9939434,81.29231016,84.665913,0.06111793663911859,0.06111793663911859
compact_to_qwen::full_information,compact_to_qwen,full_information,,1.0,1.0,1.0,0.9972451790633609,363,1523.1537853498621,473.14078503585125,1031.014833,1417.045276,2102.8565830000002,2233.3505818,2654.5131725399997,6841.659032,363,1522.868340815427,473.13338245189465,1030.795927,1416.702371,2102.6081478,2232.9941707999997,2654.1938541799996,6841.145339,0.28544453443526285,0.28544453443526285
compact_to_qwen::selective_deployable::0.10,compact_to_qwen,selective_deployable,0.1,0.0743801652892562,0.0743801652892562,1.0,0.9972451790633609,363,175.26540676859503,553.196764163185,21.134418,37.814077,76.4976924,1375.8778083,2476.6829125,6824.857179,363,175.1809301983471,553.141579711731,21.096065,37.752674,76.4165194,1375.5949166,2476.3656021799998,6824.378178,0.08447657024793555,0.08447657024793555
compact_to_qwen::selective_deployable::0.25,compact_to_qwen,selective_deployable,0.25,0.23140495867768596,0.23415977961432508,0.9972451790633609,0.9972451790633609,363,418.8366203195593,758.4052382352891,20.279247,46.054682,1509.2547042,1814.544169399999,2549.0836572799994,6827.726937,363,418.7175594297521,758.3126339712059,20.241752,46.010604,1509.0373700000002,1814.2169402999987,2548.739090179999,6827.254721,0.11906088980716657,0.11906088980716657
compact_to_qwen::selective_deployable::0.50,compact_to_qwen,selective_deployable,0.5,0.4490358126721763,0.4490358126721763,1.0,1.0,363,757.8170085426997,878.4549143810688,20.463883,79.136434,1838.6480698,2193.010009399999,2629.4976168599997,6838.864945,363,757.6498301432507,878.3435290930661,20.42526,79.053649,1838.395297,2192.637574799999,2629.18281666,6838.363155,0.16717839944903712,0.16717839944903712
rule_compact_to_qwen::cheap_only,rule_compact_to_qwen,cheap_only,,0.0,0.0,1.0,1.0,363,45.17996662534435,20.563679475750803,21.061046,37.705729,78.2045072,80.1149258,81.67761504,82.115386,363,45.10216309090909,20.55676073300213,21.016569999999998,37.632706999999996,78.12198699999999,80.0522141,81.61420917999999,82.01104500000001,0.0778035344352616,0.0778035344352616
rule_compact_to_qwen::full_information,rule_compact_to_qwen,full_information,,1.0,1.0,1.0,1.0,363,1524.0157069393938,471.8608169569322,1033.41599,1418.988164,2097.0271994,2223.0730097,2644.5956276399993,6833.772228,363,1523.7077424986226,471.85202081668484,1033.181243,1418.636742,2096.7297662,2222.6495958,2644.2626310999995,6833.27675,0.3079644407713584,0.3079644407713584
rule_compact_to_qwen::selective_deployable::0.10,rule_compact_to_qwen,selective_deployable,0.1,0.14600550964187328,0.14600550964187328,1.0,1.0,363,273.9730504214876,580.1290739736985,21.535738,38.884269,1327.8783154000002,1682.818063,2311.7853224399996,2699.976069,363,273.86083757024795,580.0541569036147,21.486375,38.78506899999999,1327.6168008000002,1682.5603006,2311.47805788,2699.6806189999998,0.1122128512396666,0.1122128512396666
rule_compact_to_qwen::selective_deployable::0.25,rule_compact_to_qwen,selective_deployable,0.25,0.33608815426997246,0.33608815426997246,1.0,0.9972451790633609,363,585.1750123112947,845.0662885096776,21.807331,63.499858,1861.3952826,2099.2395929,2656.4768561999995,6835.25439,363,585.0205703443526,844.9667343455543,21.753641000000002,63.373909,1861.1135936,2098.8988317999997,2656.10802414,6834.714707,0.15444196694214307,0.15444196694214307
rule_compact_to_qwen::selective_deployable::0.50,rule_compact_to_qwen,selective_deployable,0.5,0.5564738292011019,0.559228650137741,0.9972451790633609,0.9972451790633609,363,904.808713214876,866.0569537733475,20.939917,1143.056899,1888.7475024,2153.1474847999993,2653.7175440399997,6835.524608,363,904.6030195123967,865.9482763815988,20.896688,1142.715524,1888.432579,2152.8984143,2653.3476368999995,6834.995814,0.2056937024793406,0.2056937024793406
rule_to_compact::cheap_only,rule_to_compact,cheap_only,,0.0,0.0,1.0,1.0,363,1.0828643333333332,0.7056524994749934,0.197742,0.888945,1.9559270000000002,2.3313329999999994,3.03199082,6.494737,363,1.055172663911846,0.7021342638174892,0.175576,0.86436,1.9320906,2.3081147999999994,2.99891528,6.463987,0.027691669421487607,0.027691669421487607
rule_to_compact::full_information,rule_to_compact,full_information,,1.0,1.0,1.0,1.0,363,44.00865439118457,19.5339073513779,20.874971,36.497126,74.6995444,76.91390879999999,80.4146418,82.425637,363,43.93553585674932,19.52591536987016,20.833184,36.416207,74.6449694,76.7958465,80.34053416,82.374701,0.07311853443526183,0.07311853443526183
rule_to_compact::selective_deployable::0.10,rule_to_compact,selective_deployable,0.1,0.1487603305785124,0.1487603305785124,1.0,1.0,363,8.549638074380166,20.02690007393205,0.116722,1.003861,30.712518400000004,72.5494805,81.46227866000001,83.843399,363,8.514268126721763,20.01080442834693,0.101006,0.976609,30.642210400000003,72.4816782,81.37532842,83.720949,0.03536994765840231,0.03536994765840231
rule_to_compact::selective_deployable::0.25,rule_to_compact,selective_deployable,0.25,0.3691460055096419,0.3691460055096419,1.0,1.0,363,18.70529161983471,26.822578800732806,0.100106,1.397102,75.24775020000001,78.7504873,80.58968774,82.032285,363,18.66603008539945,26.796821451304474,0.085532,1.378842,75.191433,78.6727721,80.53338856,81.917408,0.03926153443526161,0.03926153443526161
rule_to_compact::selective_deployable::0.50,rule_to_compact,selective_deployable,0.5,1.0,1.0,1.0,1.0,363,45.69457305785123,21.017409647700635,20.504027,39.741365,78.075856,79.9024805,81.52549498,85.201395,363,45.62297880716253,21.009180158283993,20.45618,39.671164,78.0184874,79.81874819999999,81.42708494,85.07523,0.07159425068870552,0.07159425068870552
