policy_id,source_dataset,direct_n,direct_mean_ms,direct_std_ms,direct_min_ms,direct_p50_ms,direct_p90_ms,direct_p95_ms,direct_p99_ms,direct_max_ms,component_n,component_mean_ms,component_std_ms,component_min_ms,component_p50_ms,component_p90_ms,component_p95_ms,component_p99_ms,component_max_ms
compact_to_qwen::cheap_only,jailbreakbench_judge_comparison,120,46.85168755833333,22.84969029786056,20.457107,36.808265000000006,79.2869604,79.70900629999998,82.74020318,84.712622,120,46.80342290833333,22.845557355767355,20.420937,36.759228500000006,79.2284377,79.66297379999999,82.69238133,84.665913
compact_to_qwen::cheap_only,wildguardtest,123,57.30340392682926,22.738273302572384,21.679373,67.251855,80.0602092,80.3843131,81.44814858000001,82.154953,123,57.23525544715448,22.72519530697541,21.640682,67.139272,79.9894428,80.32451019999999,81.29972101999999,82.038322
compact_to_qwen::cheap_only,xstest_safe_gpt4,120,32.828557208333336,7.602569627496648,25.268287,27.661197,43.9511204,44.42498325,44.9944846,45.175672,120,32.761792291666666,7.594329533205951,25.214598,27.5960255,43.862250200000005,44.347259,44.92936204,45.079994
compact_to_qwen::full_information,jailbreakbench_judge_comparison,120,1561.4699750166665,328.90788990905634,1031.014833,1510.1098065,2028.1870261000004,2112.2942525,2177.1311046,2246.81299,120,1561.2269649166667,328.9096008138594,1030.795927,1509.852531,2027.9400554000003,2112.06791955,2176.8974497599997,2246.583562
compact_to_qwen::full_information,wildguardtest,123,1741.317715821138,646.7252864365247,1058.295497,1639.90055,2351.264152,2512.8024826999995,3028.7403439,6841.659032,123,1741.0182740569107,646.702089178755,1057.976758,1639.647857,2350.9875036000003,2512.4505132999993,3028.43583686,6841.145339
compact_to_qwen::full_information,xstest_safe_gpt4,120,1261.21956695,155.41066694857454,1046.999497,1226.3373685000001,1439.8970626,1454.8700615,1606.01322041,1631.920724,120,1260.9060351416667,155.39946705368686,1046.690189,1226.011916,1439.5564516,1454.5551065500001,1605.72870465,1631.642511
compact_to_qwen::selective_deployable::0.10,jailbreakbench_judge_comparison,120,188.29295665833334,433.7491059362903,21.134418,39.3143555,183.25962760000874,1476.10808975,1654.5547441000003,1837.184914,120,188.21564943333334,433.6908269317646,21.096065,39.26117,183.19249960000872,1475.8644662999998,1654.3297159100005,1836.862093
compact_to_qwen::selective_deployable::0.10,wildguardtest,123,240.30438551219513,797.2582314984688,23.40352,64.026476,77.3050552,1635.822899899997,2959.1311694600004,6824.857179,123,240.2137539593496,797.1949132802873,23.360251,63.933378,77.2556194,1635.559556299997,2958.827326620001,6824.378178
compact_to_qwen::selective_deployable::0.10,xstest_safe_gpt4,120,95.57290366666665,283.2093819273013,24.742482,28.136847,40.73066750000001,100.49630989999699,1385.3260983300001,1641.183188,120,95.48756660833332,283.1543539373641,24.689802,28.0619305,40.649578700000006,100.28699579999697,1385.0257504400004,1640.8942869999998
compact_to_qwen::selective_deployable::0.25,jailbreakbench_judge_comparison,120,435.4635406333333,631.5749232882312,20.279247,76.017418,1512.0632329,1542.25866145,1657.35318817,1842.332888,120,435.35392310000003,631.484501496957,20.241752,75.95948849999999,1511.8463628000002,1542.01618005,1657.11979642,1842.113264
compact_to_qwen::selective_deployable::0.25,wildguardtest,123,533.6870561544716,1009.6704136113931,22.552146,74.334148,2040.0272984,2461.390745399999,2979.4933947400004,6827.726937,123,533.5551629430894,1009.5716163929511,22.514338,74.255192,2039.7212160000001,2461.0905961999993,2979.15370272,6827.254721
compact_to_qwen::selective_deployable::0.25,xstest_safe_gpt4,120,284.488003275,523.036725860461,24.387674,28.567239999999998,1384.5101153000003,1421.07890515,1456.12586005,1598.035709,120,284.3726521583333,522.936534701848,24.334195,28.5067785,1384.1786255000002,1420.6929690499999,1455.7763975,1597.736958
compact_to_qwen::selective_deployable::0.50,jailbreakbench_judge_comparison,120,703.2311561916666,710.3653122539353,20.463883,80.7901105,1538.7027568,1656.7671773,1902.45817797,2134.831281,120,703.0860673166666,710.2624340715706,20.42526,80.737164,1538.3967494,1656.5371491,1902.11522804,2134.59913
compact_to_qwen::selective_deployable::0.50,wildguardtest,123,1068.6044679430895,1109.953435576608,21.77605,1301.904626,2332.8663141999996,2501.2771751999994,3013.6986171800004,6838.864945,123,1068.406584487805,1109.8374281971758,21.716731,1301.566351,2332.5359654,2500.956016599999,3013.38042462,6838.363155
compact_to_qwen::selective_deployable::0.50,xstest_safe_gpt4,120,493.8457150083333,637.7240330151992,24.958998,41.050525500000006,1420.5228946,1439.1562654499999,1600.41708708,1612.245241,120,493.68791976666665,637.60017579568,24.903951,40.9751285,1420.1942565999998,1438.84424675,1600.1308334599998,1611.9182939999998
rule_compact_to_qwen::cheap_only,jailbreakbench_judge_comparison,120,47.092400375000004,22.2949244043449,21.061046,36.670693,79.89822819999999,81.0415778,81.87301048,82.067092,120,47.028547200000006,22.290279219083374,21.016569999999998,36.6043575,79.8376149,80.98217555,81.80588641,81.989881
rule_compact_to_qwen::cheap_only,wildguardtest,123,55.697384577235766,21.19197702703659,21.745061,65.389886,78.6541012,80.23035669999999,81.85018506,82.115386,123,55.612052747967475,21.17794614895058,21.684348,65.293497,78.5858784,80.1246317,81.76852262,82.01104500000001
rule_compact_to_qwen::cheap_only,xstest_safe_gpt4,120,32.487179475,6.956557600271768,25.313217,28.839208999999997,43.6332358,44.24472015,46.089192600000004,46.31016,120,32.403142083333336,6.949447040710559,25.252328,28.721773,43.531354699999994,44.160978150000005,45.948034830000005,46.229288999999994
