seed,endpoint,family,mean_total_component_cost_ms,recall,false_positive_rate
1729,never_acquire,base_policy,43.89833973977474,0.21649484536082475,0.04871060171919771
1729,always_acquire,augmented_policy,3746.393440307647,0.852233676975945,0.04512893982808023
1729,direct_fusion,LogisticRegression,3743.944885737996,0.852233676975945,0.04512893982808023
1729,direct_fusion,HistGradientBoostingClassifier,3746.377086864256,0.872852233676976,0.0494269340974212
1729,direct_fusion,RandomForestClassifier,3781.8861968755186,0.8625429553264605,0.050143266475644696
2718,never_acquire,base_policy,43.75832066627149,0.21993127147766323,0.0508595988538682
2718,always_acquire,augmented_policy,3746.3950064493183,0.852233676975945,0.04512893982808023
2718,direct_fusion,LogisticRegression,3743.9429415690574,0.8694158075601375,0.045845272206303724
2718,direct_fusion,HistGradientBoostingClassifier,3746.392349473029,0.8625429553264605,0.04799426934097421
2718,direct_fusion,RandomForestClassifier,3782.054462093065,0.8419243986254296,0.04871060171919771
3141,never_acquire,base_policy,43.75377784173089,0.21993127147766323,0.050143266475644696
3141,always_acquire,augmented_policy,3746.5616150871365,0.8556701030927835,0.0494269340974212
3141,direct_fusion,LogisticRegression,3743.942098443983,0.852233676975945,0.0494269340974212
3141,direct_fusion,HistGradientBoostingClassifier,3746.5150829733257,0.8625429553264605,0.0494269340974212
3141,direct_fusion,RandomForestClassifier,3781.867605324244,0.865979381443299,0.050143266475644696
5772,never_acquire,base_policy,43.74408252519265,0.21993127147766323,0.0508595988538682
5772,always_acquire,augmented_policy,3746.381139722584,0.8625429553264605,0.0494269340974212
5772,direct_fusion,LogisticRegression,3743.940239418494,0.8625429553264605,0.0494269340974212
5772,direct_fusion,HistGradientBoostingClassifier,3746.5081438452876,0.8625429553264605,0.0508595988538682
5772,direct_fusion,RandomForestClassifier,3781.8293500989926,0.8625429553264605,0.0508595988538682
8111,never_acquire,base_policy,43.75326977000592,0.21305841924398625,0.05157593123209169
8111,always_acquire,augmented_policy,3746.395645485477,0.8625429553264605,0.045845272206303724
8111,direct_fusion,LogisticRegression,3743.9420465666867,0.8625429553264605,0.04656160458452722
8111,direct_fusion,HistGradientBoostingClassifier,3746.6530045998816,0.872852233676976,0.04727793696275072
8111,direct_fusion,RandomForestClassifier,3781.8405136259635,0.8556701030927835,0.045845272206303724
