stage,source_column,effective_group_count,bootstrap_repetitions,confidence_level,count,mean_ms,sd_ms,median_ms,p90_ms,p95_ms,p99_ms,max_ms,timeout_rate,p90_ci_lower_ms,p90_ci_upper_ms,p95_ci_lower_ms,p95_ci_upper_ms,p99_ci_lower_ms,p99_ci_upper_ms
input_preparation,input_preparation_ms,1687,2000,0.95,1687,0.007153325429756965,0.004677117650964138,0.005511,0.014665200000000003,0.017136899999999993,0.024182719999999994,0.03405,0.0,0.013991600000000002,0.0153116,0.01646228499999999,0.017777027499999952,0.021765419999999955,0.026381199999999983
base_monitors,base_monitors_ms,1687,2000,0.95,1687,40.70580009484292,13.71731217277478,36.082768,57.3151802,58.4529949,61.12132757999996,75.216821,0.0,57.033971445,57.564686,58.181125,58.842097,60.83887747999999,62.403113000000005
embedding,embedding_latency_ms,1687,2000,0.95,1687,77.26614789626557,48.679517874409505,66.984969,145.4583856,162.6973756,209.09406295999918,440.436858,0.0,135.51046820000002,149.54998080000004,158.744228,166.904781,202.4589937,240.250295
optional_monitor,optional_monitor_ms,1687,2000,0.95,1687,3702.7915296710134,1306.3537729941327,3423.310189,5247.452238400002,5911.664154199998,7456.42551718,22809.547247,0.0,5088.34548284,5356.1924296649995,5655.661228947501,5960.9461879,6856.727378907982,8025.71126
router_features,router_features_ms,1687,2000,0.95,8435,77.5147754278601,48.668762847299746,67.206438,145.7555484,162.9814117,212.80870173999907,440.817861,0.0,135.80942850000002,150.53073064999998,159.02835828500002,167.15792959999993,202.6752364,241.19798831999984
signed_ridge_router_inference,signed_ridge_router_inference_ms,1687,2000,0.95,8435,0.21884764777711915,0.0287702669743439,0.214291,0.2446618,0.2609378,0.3395371199999998,0.554214,0.0,0.24341413500000003,0.2459934,0.25914537,0.26315702999999996,0.3202104029999999,0.3611194074999996
signed_hgbr_router_inference,signed_hgbr_router_inference_ms,1687,2000,0.95,8435,3.2771159449911083,0.46027935543929493,3.111215,3.802595,3.9318299999999984,4.516080499999999,11.691589,0.0,3.790248715,3.8137689999999997,3.9106478975,3.9544390999999997,4.401566473,4.759759
signed_rfr_router_inference,signed_rfr_router_inference_ms,1687,2000,0.95,8435,40.95231323841138,2.5869958877579053,40.591055999999995,43.0403162,44.250212899999966,48.40444545999998,82.019205,0.0,42.92955502499999,43.150683,43.980949974999994,44.5075519,47.54454076299999,49.641704
current_error_lr_inference,current_error_lr_ms,1687,2000,0.95,8435,0.4367933577949022,0.057652789839312116,0.421183,0.507441,0.5463304,0.6293239,1.027339,0.0,0.501963785,0.513024685,0.5393798999999999,0.554735,0.61948918,0.6405364399999999
current_error_hgbc_inference,current_error_hgbc_ms,1687,2000,0.95,8435,3.619452815649081,0.2866255861432922,3.571962,3.8685736,4.0132259,4.585709799999999,9.475092,0.0,3.8530015499999997,3.881252,3.984052,4.037515899999999,4.445232302499998,4.780403379999997
current_error_rfc_inference,current_error_rfc_ms,1687,2000,0.95,8435,38.72024963272081,2.4813847997641285,38.37547,40.712997,41.8272259,45.72356283999999,80.300354,0.0,40.59431345,40.85845861,41.643317,42.112637199999995,44.94605790149999,47.49380764149999
base_final_fusion,base_policy_inference_ms,1687,2000,0.95,8435,3.068604688322466,0.26631637911757405,3.025252,3.3388518,3.4918748999999996,4.055573359999998,5.930475,0.0,3.3220946,3.3542024,3.4679547,3.5098018274999996,3.8616901799999974,4.231981
augmented_final_fusion,augmented_policy_inference_ms,1687,2000,0.95,8435,2.9208863191464136,0.25766802026044533,2.864189,3.2101204,3.355941,3.7932731399999997,5.99079,0.0,3.1971575800000003,3.226833905,3.3380674999999997,3.366636,3.73347102,3.903339
direct_fusion_lr,direct_fusion_lr_ms,1687,2000,0.95,8435,0.4379592559573207,0.06103451889859634,0.421973,0.5120814,0.5512959000000001,0.64576702,1.132802,0.0,0.50646391,0.5181478400000001,0.543781,0.559355,0.625617,0.6568662799999999
direct_fusion_hgbc,direct_fusion_hgbc_ms,1687,2000,0.95,8435,2.984650459869591,0.3752262831738346,2.874192,3.5037242,3.6531508999999995,4.09947448,7.568693,0.0,3.4855726000000002,3.51908,3.6288038075,3.6744648,4.006466239999998,4.244449
direct_fusion_rfc,direct_fusion_rfc_ms,1687,2000,0.95,8435,38.39114251227031,2.676019993196451,38.185565,40.562436399999996,41.68050289999999,46.007225879999986,76.341557,0.0,40.44199807500001,40.6834216,41.518494055,41.893212399999996,45.004598273,48.313095
base_component_total,base_component_total_ms,1687,2000,0.95,8435,43.78155810859514,13.719026523199867,39.20539500000001,60.425712000000004,61.6046493,64.34766805999999,78.635527,0.0,60.16348,60.67174385,61.226138075,62.01868389999999,63.91635482,65.61499337999993
always_acquire_component_total,always_acquire_component_total_ms,1687,2000,0.95,8435,3746.425369410433,1317.4196392521455,3462.726988,5321.0049854,5975.6473214,7522.428478239999,22887.940798999996,0.0,5147.343064119999,5418.048622400001,5716.778795200001,6023.11367735,6936.542324479993,8104.575380733992
