signed_family,budget_fraction,budget_ms,comparator,mean_recall_difference,positive_seed_count,negative_seed_count,zero_seed_count,minimum_4_of_5_same_sign,minimum_4_of_5_positive,proposed_max_seed_fpr,comparator_max_seed_fpr,development_empirical_fpr_feasible,cost_equivalent,cost_observed_mean_difference_ms,cost_equivalence_margin_ms,cost_lower_one_sided_bound_ms,cost_upper_one_sided_bound_ms,cost_alpha,cost_bootstrap_repetitions,cost_group_count
Ridge,0.1,414.045939238779,threshold_distance,-0.03230240549828178,0,5,0,True,False,0.022922636103151862,0.029369627507163324,True,False,-3.6891892876111396,4.14045939238779,-49.162026480841725,41.66796869766449,0.05,5000,1687
Ridge,0.1,414.045939238779,current_error_prediction,-0.06735395189003436,0,5,0,True,False,0.022922636103151862,0.042263610315186245,True,False,-3.7775417960877338,4.14045939238779,-43.4609571880735,36.05835082927687,0.05,5000,1687
Ridge,0.1,414.045939238779,random_acquisition,-0.026116838487972492,0,5,0,True,False,0.022922636103151862,0.05300859598853868,False,False,-6.622767663900428,4.14045939238779,-49.035016948855954,35.89602809946534,0.05,5000,1687
Ridge,0.2,784.3103203689628,threshold_distance,-0.005498281786941584,2,2,1,False,False,0.022922636103151862,0.022922636103151862,True,False,-6.027585771547139,7.843103203689629,-60.76044050260816,46.98773701526971,0.05,5000,1687
Ridge,0.2,784.3103203689628,current_error_prediction,-0.07422680412371133,0,5,0,True,False,0.022922636103151862,0.034383954154727794,True,False,5.145725731594549,7.843103203689629,-46.436426554522825,57.79968549731476,0.05,5000,1687
Ridge,0.2,784.3103203689628,random_acquisition,0.035051546391752585,5,0,0,True,True,0.022922636103151862,0.05659025787965616,False,False,2.634486692590375,7.843103203689629,-58.0718028339668,62.88354435055133,0.05,5000,1687
Ridge,0.3,1154.5747014991466,threshold_distance,0.042611683848797224,5,0,0,True,True,0.024355300859598854,0.02148997134670487,True,False,-4.364849551037345,11.545747014991466,-66.0090965981387,54.11431532846475,0.05,5000,1687
Ridge,0.3,1154.5747014991466,current_error_prediction,-0.0893470790378007,0,5,0,True,False,0.024355300859598854,0.0329512893982808,True,False,-1.9060969639596916,11.545747014991466,-63.45079393883818,56.24499731547131,0.05,5000,1687
Ridge,0.3,1154.5747014991466,random_acquisition,0.0824742268041237,5,0,0,True,True,0.024355300859598854,0.05659025787965616,False,False,5.20728012554831,11.545747014991466,-67.37160567299345,74.60407786511087,0.05,5000,1687
Ridge,0.5,1895.1034637595142,threshold_distance,0.05085910652920962,5,0,0,True,True,0.0336676217765043,0.03151862464183381,True,False,-204.63270869353883,18.951034637595143,-276.1877151095199,-134.91081332973914,0.05,5000,1687
