layer,contrast,eligible_n,left_pass_n,right_pass_n,pass_flip_n,left_pass_right_fail_n,left_fail_right_pass_n,mean_recall_delta_left_minus_right,mean_fpr_delta_left_minus_right,mean_row_fpr_upper95_delta_left_minus_right,mean_dependency_group_upper95_delta_left_minus_right,descriptive_seed_pooling_only
fixed_policy_measurement,grouping_at_audited,75,4,4,0,0,0,0.0,0.0,0.0,-0.00043211142647652597,True
fixed_policy_measurement,grouping_at_original,75,3,3,0,0,0,0.0,0.0,0.0,-0.0004319822281844247,True
fixed_policy_measurement,label_at_dependency,75,3,4,1,0,1,-0.004085863328116848,-0.0002636189068789376,-0.00026036995490387194,-0.0002604991531959732,True
fixed_policy_measurement,label_at_singleton,75,3,4,1,0,1,-0.004085863328116848,-0.0002636189068789376,-0.00026036995490387194,-0.00026036995490387194,True
retraining_reselection,grouping_at_audited,75,6,4,6,4,2,-0.009765258215962441,-0.0024068767908309464,-0.002728715519881818,-0.002744084497427093,True
retraining_reselection,grouping_at_original,75,8,8,6,3,3,-0.00018779342723005004,0.0004584527220630368,0.0006042133515088473,0.0006076740179393011,True
retraining_reselection,label_at_dependency,75,8,4,4,4,0,-0.013708920187793421,-0.004775549188156638,-0.005635531447201047,-0.005667405533088235,True
retraining_reselection,label_at_singleton,75,8,6,10,6,4,-0.0041314553990610325,-0.0019102196752626551,-0.002302602575810381,-0.002315647017721842,True
full_protocol,grouping_at_audited,75,17,4,19,16,3,-0.03202453176695892,-0.009933142311365812,-0.011682329927465833,-0.011971331445035708,True
full_protocol,grouping_at_original,75,15,14,29,15,14,0.012068186899172832,0.00502857142857143,0.005877222974467253,0.005744647192354933,True
full_protocol,label_at_dependency,75,14,4,14,12,2,-0.03802280348759221,-0.008416100422977208,-0.0097853047164241,-0.009652098683470646,True
full_protocol,label_at_singleton,75,15,17,18,8,10,0.0060699151785395325,0.006545613316960033,0.007774248185508989,0.008063879953919996,True
