layer,contrast,seed,eligible_n,left_pass_n,right_pass_n,pass_flip_n,left_pass_right_fail_n,left_fail_right_pass_n
fixed_policy_measurement,grouping_at_audited,1729,15,2,2,0,0,0
fixed_policy_measurement,grouping_at_audited,2718,15,0,0,0,0,0
fixed_policy_measurement,grouping_at_audited,3141,15,0,0,0,0,0
fixed_policy_measurement,grouping_at_audited,5772,15,0,0,0,0,0
fixed_policy_measurement,grouping_at_audited,8111,15,2,2,0,0,0
fixed_policy_measurement,grouping_at_original,1729,15,1,1,0,0,0
fixed_policy_measurement,grouping_at_original,2718,15,0,0,0,0,0
fixed_policy_measurement,grouping_at_original,3141,15,0,0,0,0,0
fixed_policy_measurement,grouping_at_original,5772,15,0,0,0,0,0
fixed_policy_measurement,grouping_at_original,8111,15,2,2,0,0,0
fixed_policy_measurement,label_at_dependency,1729,15,1,2,1,0,1
fixed_policy_measurement,label_at_dependency,2718,15,0,0,0,0,0
fixed_policy_measurement,label_at_dependency,3141,15,0,0,0,0,0
fixed_policy_measurement,label_at_dependency,5772,15,0,0,0,0,0
fixed_policy_measurement,label_at_dependency,8111,15,2,2,0,0,0
fixed_policy_measurement,label_at_singleton,1729,15,1,2,1,0,1
fixed_policy_measurement,label_at_singleton,2718,15,0,0,0,0,0
fixed_policy_measurement,label_at_singleton,3141,15,0,0,0,0,0
fixed_policy_measurement,label_at_singleton,5772,15,0,0,0,0,0
fixed_policy_measurement,label_at_singleton,8111,15,2,2,0,0,0
full_protocol,grouping_at_audited,1729,15,6,2,8,6,2
full_protocol,grouping_at_audited,2718,15,0,0,0,0,0
full_protocol,grouping_at_audited,3141,15,1,0,1,1,0
full_protocol,grouping_at_audited,5772,15,1,0,1,1,0
full_protocol,grouping_at_audited,8111,15,9,2,9,8,1
full_protocol,grouping_at_original,1729,15,1,2,3,1,2
full_protocol,grouping_at_original,2718,15,0,0,0,0,0
full_protocol,grouping_at_original,3141,15,0,4,4,0,4
full_protocol,grouping_at_original,5772,15,7,0,7,7,0
full_protocol,grouping_at_original,8111,15,7,8,15,7,8
full_protocol,label_at_dependency,1729,15,2,2,4,2,2
full_protocol,label_at_dependency,2718,15,0,0,0,0,0
full_protocol,label_at_dependency,3141,15,4,0,4,4,0
full_protocol,label_at_dependency,5772,15,0,0,0,0,0
full_protocol,label_at_dependency,8111,15,8,2,6,6,0
full_protocol,label_at_singleton,1729,15,1,6,7,1,6
full_protocol,label_at_singleton,2718,15,0,0,0,0,0
full_protocol,label_at_singleton,3141,15,0,1,1,0,1
full_protocol,label_at_singleton,5772,15,7,1,6,6,0
full_protocol,label_at_singleton,8111,15,7,9,4,1,3
retraining_reselection,grouping_at_audited,1729,15,4,2,2,2,0
retraining_reselection,grouping_at_audited,2718,15,1,0,1,1,0
retraining_reselection,grouping_at_audited,3141,15,0,0,0,0,0
retraining_reselection,grouping_at_audited,5772,15,0,2,2,0,2
retraining_reselection,grouping_at_audited,8111,15,1,0,1,1,0
retraining_reselection,grouping_at_original,1729,15,2,2,2,1,1
retraining_reselection,grouping_at_original,2718,15,1,0,1,1,0
retraining_reselection,grouping_at_original,3141,15,4,4,0,0,0
retraining_reselection,grouping_at_original,5772,15,0,2,2,0,2
retraining_reselection,grouping_at_original,8111,15,1,0,1,1,0
retraining_reselection,label_at_dependency,1729,15,2,2,0,0,0
retraining_reselection,label_at_dependency,2718,15,0,0,0,0,0
retraining_reselection,label_at_dependency,3141,15,4,0,4,4,0
retraining_reselection,label_at_dependency,5772,15,2,2,0,0,0
retraining_reselection,label_at_dependency,8111,15,0,0,0,0,0
retraining_reselection,label_at_singleton,1729,15,2,4,2,0,2
retraining_reselection,label_at_singleton,2718,15,1,1,2,1,1
retraining_reselection,label_at_singleton,3141,15,4,0,4,4,0
retraining_reselection,label_at_singleton,5772,15,0,0,0,0,0
retraining_reselection,label_at_singleton,8111,15,1,1,2,1,1
