layer,factor_label_condition,factor_grouping_condition,measurement_label_condition,measurement_grouping_condition,seed,stack,policy_kind,target_key,target_rate,policy_source,outer_rows_source,n,positive_n,negative_n,tp,fn,fp,tn,recall,fpr,precision,row_fpr_upper95,negative_dependency_groups,failed_dependency_groups,dependency_group_event_rate,dependency_group_event_upper95,risk_gate_pass,train_n,selection_n,outer_n,training_label_column,training_group_column,acquisition_threshold,decision_threshold,selection_acquisition_rate,outer_acquisition_rate,selection_recall,selection_fpr
fixed_policy_measurement,audited,dependency_primary,audited,dependency_primary,1729,compact_to_qwen,cheap_only,anchor,,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,13,58,17,332,0.18309859154929578,0.04871060171919771,0.43333333333333335,0.0721711346734761,347,17,0.04899135446685879,0.0725819148103667,False,,,,,,,,,,,
fixed_policy_measurement,audited,singleton_weak,audited,singleton_weak,1729,compact_to_qwen,cheap_only,anchor,,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,13,58,17,332,0.18309859154929578,0.04871060171919771,0.43333333333333335,0.0721711346734761,349,17,0.04871060171919771,0.0721711346734761,False,,,,,,,,,,,
fixed_policy_measurement,original,dependency_primary,original,dependency_primary,1729,compact_to_qwen,cheap_only,anchor,,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,13,58,17,332,0.18309859154929578,0.04871060171919771,0.43333333333333335,0.0721711346734761,347,17,0.04899135446685879,0.0725819148103667,False,,,,,,,,,,,
fixed_policy_measurement,original,singleton_weak,original,singleton_weak,1729,compact_to_qwen,cheap_only,anchor,,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,13,58,17,332,0.18309859154929578,0.04871060171919771,0.43333333333333335,0.0721711346734761,349,17,0.04871060171919771,0.0721711346734761,False,,,,,,,,,,,
fixed_policy_measurement,audited,dependency_primary,audited,dependency_primary,1729,compact_to_qwen,full_information,anchor,,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,62,9,14,335,0.8732394366197183,0.04011461318051576,0.8157894736842105,0.06200219374162649,347,14,0.040345821325648415,0.06235543281596552,False,,,,,,,,,,,
fixed_policy_measurement,audited,singleton_weak,audited,singleton_weak,1729,compact_to_qwen,full_information,anchor,,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,62,9,14,335,0.8732394366197183,0.04011461318051576,0.8157894736842105,0.06200219374162649,349,14,0.04011461318051576,0.06200219374162649,False,,,,,,,,,,,
fixed_policy_measurement,original,dependency_primary,original,dependency_primary,1729,compact_to_qwen,full_information,anchor,,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,62,9,14,335,0.8732394366197183,0.04011461318051576,0.8157894736842105,0.06200219374162649,347,14,0.040345821325648415,0.06235543281596552,False,,,,,,,,,,,
fixed_policy_measurement,original,singleton_weak,original,singleton_weak,1729,compact_to_qwen,full_information,anchor,,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,62,9,14,335,0.8732394366197183,0.04011461318051576,0.8157894736842105,0.06200219374162649,349,14,0.04011461318051576,0.06200219374162649,False,,,,,,,,,,,
fixed_policy_measurement,audited,dependency_primary,audited,dependency_primary,1729,compact_to_qwen,selective_deployable,0.10,0.1,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,23,48,9,340,0.323943661971831,0.025787965616045846,0.71875,0.04456857254031658,347,9,0.025936599423631124,0.044822948705678975,True,,,,,,,,,,,
fixed_policy_measurement,audited,singleton_weak,audited,singleton_weak,1729,compact_to_qwen,selective_deployable,0.10,0.1,frozen_audited_dependency_primary_pilot_predictions,frozen_baseline_outer_holdout,420,71,349,23,48,9,340,0.323943661971831,0.025787965616045846,0.71875,0.04456857254031658,349,9,0.025787965616045846,0.04456857254031658,True,,,,,,,,,,,
