split,family,policy_id,frozen_role,n,positives,negatives,tp,fp,tn,fn,recall,recall_ci95_low,recall_ci95_high,miss_rate_fnr,miss_rate_fnr_ci95_low,miss_rate_fnr_ci95_high,miss_rate_fnr_one_sided95_upper,fpr,fpr_ci95_low,fpr_ci95_high,fpr_one_sided95_upper,precision,intercept_rate,avg_cost_ms,median_cost_ms,p95_cost_ms,rule_call_rate,compact_call_rate,judge_call_rate
calibration,cost_tuned_cascade,cascade_rl0_rh0.7498_cl0.005781_ch0.4674_j0.52,primary_budget_aware_policy,422,72,350,37,27,323,35,0.5138888888888888,0.3931000464796619,0.6334997211807669,0.4861111111111111,0.3665002788192331,0.606899953520338,0.5889419017013314,0.07714285714285714,0.05145097781395893,0.11025555066101833,0.10481438991555957,0.578125,0.15165876777251186,194.30033872545033,148.50413165648035,486.8362157125709,1.0,0.9289099526066351,0.7796208530805687
calibration,learned_stacker_router,learned_router_low0.3668_high0.7676_final0.9112,required_baseline,422,72,350,35,21,329,37,0.4861111111111111,0.3665002788192331,0.606899953520338,0.5138888888888888,0.3931000464796619,0.6334997211807669,0.6158365146143101,0.06,0.0375209481765107,0.09025645856860265,0.0852545937243758,0.625,0.13270142180094788,208.45755111585868,153.24090496869758,490.972836559785,1.0,1.0,0.8625592417061612
calibration,strongest_single_monitor,judge_only_t_0.52004469,required_baseline,422,72,350,33,7,343,39,0.4583333333333333,0.34024583953703325,0.5799555909254568,0.5416666666666666,0.42004440907454316,0.6597541604629669,0.6424391234162099,0.02,0.008077935169007771,0.040771776167226,0.03723655019375728,0.825,0.0947867298578199,226.44326432466198,174.46753300009732,492.6346731501098,0.0,0.0,1.0
calibration,all_monitors_always_on,all_max_t_0.73319402,required_baseline,422,72,350,25,24,326,47,0.3472222222222222,0.23881276940536406,0.46863283128129885,0.6527777777777778,0.5313671687187012,0.761187230594636,0.7458174850055397,0.06857142857142857,0.044425913293491714,0.10031294920424708,0.0950824614712035,0.5102040816326531,0.11611374407582939,232.34944249737788,179.8664756560271,499.75106082193355,1.0,1.0,1.0
calibration,cheapest_monitor_only,rule_only_t_0.7498301,required_baseline,422,72,350,12,18,332,60,0.16666666666666666,0.08919640600812592,0.27303927891193064,0.8333333333333334,0.7269607210880693,0.910803593991874,0.9009195065926633,0.05142857142857143,0.030761057264109916,0.08006346901962577,0.07531170016424905,0.4,0.07109004739336493,1.3775066018925608,1.034181000022727,3.243550650012139,1.0,0.0,0.0
calibration,fixed_cascade,fixed_rule_gate_010_to_judge_005,required_baseline,422,72,350,9,2,348,63,0.125,0.05878331705656036,0.22407193574325332,0.875,0.7759280642567467,0.9412166829434396,0.933213979924841,0.005714285714285714,0.0006927772191621602,0.020488469431775614,0.017877909894280317,0.8181818181818182,0.026066350710900472,33.94773072038012,1.143332500021188,257.98550729975886,1.0,0.0,0.11137440758293839
final_test,cost_tuned_cascade,cascade_rl0_rh0.7498_cl0.005781_ch0.4674_j0.52,primary_budget_aware_policy,422,72,350,42,20,330,30,0.5833333333333334,0.4611132583957715,0.6984788317689608,0.4166666666666667,0.30152116823103925,0.5388867416042286,0.5204254594341718,0.05714285714285714,0.035250038986872144,0.08687530403173505,0.08195420981145023,0.6774193548387096,0.14691943127962084,186.390191107999,145.69468112518535,477.98224675652244,1.0,0.9289099526066351,0.8175355450236966
final_test,learned_stacker_router,learned_router_low0.3668_high0.7676_final0.9112,required_baseline,422,72,350,44,15,335,28,0.6111111111111112,0.4889369362276892,0.7238453141525445,0.3888888888888889,0.27615468584745545,0.5110630637723108,0.49249604884313936,0.04285714285714286,0.02418211744100349,0.0697019736824328,0.06522674515699323,0.7457627118644068,0.13981042654028436,193.20710305245998,147.352532562401,479.8162912874389,1.0,1.0,0.8720379146919431
final_test,strongest_single_monitor,judge_only_t_0.52004469,required_baseline,422,72,350,35,9,341,37,0.4861111111111111,0.3665002788192331,0.606899953520338,0.5138888888888888,0.3931000464796619,0.6334997211807669,0.6158365146143101,0.025714285714285714,0.01182414818374901,0.04825093577381196,0.0444424640102825,0.7954545454545454,0.10426540284360189,215.30732427964332,158.66392299972176,484.5797040999514,0.0,0.0,1.0
final_test,all_monitors_always_on,all_max_t_0.73319402,required_baseline,422,72,350,30,15,335,42,0.4166666666666667,0.30152116823103925,0.5388867416042286,0.5833333333333334,0.4611132583957715,0.6984788317689608,0.6817874197679397,0.04285714285714286,0.02418211744100349,0.0697019736824328,0.06522674515699323,0.6666666666666666,0.1066350710900474,221.08425247426507,164.4184900626513,490.7084439468562,1.0,1.0,1.0
final_test,cheapest_monitor_only,rule_only_t_0.7498301,required_baseline,422,72,350,18,12,338,54,0.25,0.15539265735437502,0.36602807213790095,0.75,0.6339719278620991,0.8446073426456249,0.8317581845294124,0.03428571428571429,0.01783906729385105,0.05912392573108339,0.05495911240207358,0.6,0.07109004739336493,1.2742249763054267,0.9606090000033873,3.1778852999821083,1.0,0.0,0.0
final_test,fixed_cascade,fixed_rule_gate_010_to_judge_005,required_baseline,422,72,350,10,1,349,62,0.1388888888888889,0.06866420769681662,0.24062593250302433,0.8611111111111112,0.7593740674969757,0.9313357923031833,0.9226684453944592,0.002857142857142857,7.233397801247844e-05,0.015815403706112344,0.013481622686778166,0.9090909090909091,0.026066350710900472,30.835040241712246,1.0312129999761055,188.69287060002193,1.0,0.0,0.09004739336492891
held_out_shift,cost_tuned_cascade,cascade_rl0_rh0.7498_cl0.005781_ch0.4674_j0.52,primary_budget_aware_policy,50,34,16,26,9,7,8,0.7647058823529411,0.5882921580928333,0.8925381842249919,0.23529411764705882,0.10746181577500809,0.4117078419071668,0.3846567466725869,0.5625,0.2987768990831778,0.8024658594673321,0.7733084315337126,0.7428571428571429,0.7,74.18424498747015,95.93248899983564,104.39564582188083,1.0,0.86,0.76
held_out_shift,learned_stacker_router,learned_router_low0.3668_high0.7676_final0.9112,required_baseline,50,34,16,28,7,9,6,0.8235294117647058,0.6546848689318661,0.9323593473172429,0.17647058823529413,0.06764065268275714,0.34531513106813394,0.31886933930632094,0.4375,0.19753414053266788,0.7012231009168222,0.6666258284750756,0.8,0.7,87.79200345496066,97.10252731255764,104.39564582188083,1.0,1.0,0.9
held_out_shift,strongest_single_monitor,judge_only_t_0.52004469,required_baseline,50,34,16,28,6,10,6,0.8235294117647058,0.6546848689318661,0.9323593473172429,0.17647058823529413,0.06764065268275714,0.34531513106813394,0.31886933930632094,0.375,0.15198367508112207,0.6456539056979218,0.6089884169792585,0.8235294117647058,0.68,92.83592001995203,93.50916350012994,100.5998396001587,0.0,0.0,1.0
held_out_shift,all_monitors_always_on,all_max_t_0.73319402,required_baseline,50,34,16,19,7,9,15,0.5588235294117647,0.3788576439570714,0.728149803585133,0.4411764705882353,0.2718501964148669,0.6211423560429286,0.5953422919396909,0.4375,0.19753414053266788,0.7012231009168222,0.6666258284750756,0.7307692307692307,0.52,96.8746021149582,97.4047968123557,104.39564582188083,1.0,1.0,1.0
held_out_shift,cheapest_monitor_only,rule_only_t_0.7498301,required_baseline,50,34,16,4,3,13,30,0.11764705882352941,0.03300168033646956,0.2745034871423555,0.8823529411764706,0.7254965128576445,0.9669983196635304,0.9588004705521037,0.1875,0.040473733905945886,0.4564565462316117,0.4165722807061528,0.5714285714285714,0.14,0.41439006000473455,0.3952559999902405,0.6027808499709408,1.0,0.0,0.0
held_out_shift,fixed_cascade,fixed_rule_gate_010_to_judge_005,required_baseline,50,34,16,8,1,15,26,0.23529411764705882,0.10746181577500809,0.4117078419071668,0.7647058823529411,0.5882921580928333,0.8925381842249919,0.8771702344111936,0.0625,0.0015811117227658871,0.3023207384345319,0.2639573972885685,0.8888888888888888,0.18,26.38070823997623,0.4186720000234345,95.93210314996554,1.0,0.0,0.28
