split,target_fpr,policy,n,positive_n,negative_n,tp,fn,fp,tn,recall,fpr,precision,accuracy,expensive_call_rate,expensive_call_reduction
calibration,0.01,full_information_always_on,422,72,350,10,62,1,349,0.1388888888888889,0.002857142857142857,0.9090909090909091,0.8507109004739336,1.0,0.0
calibration,0.01,selective_acquisition,422,72,350,7,65,8,342,0.09722222222222222,0.022857142857142857,0.4666666666666667,0.8270142180094787,0.2559241706161137,0.7440758293838863
calibration,0.025,full_information_always_on,422,72,350,31,41,4,346,0.4305555555555556,0.011428571428571429,0.8857142857142857,0.8933649289099526,1.0,0.0
calibration,0.025,selective_acquisition,422,72,350,31,41,11,339,0.4305555555555556,0.03142857142857143,0.7380952380952381,0.8767772511848341,0.36492890995260663,0.6350710900473934
calibration,0.05,full_information_always_on,422,72,350,51,21,9,341,0.7083333333333334,0.025714285714285714,0.85,0.9289099526066351,1.0,0.0
calibration,0.05,selective_acquisition,422,72,350,51,21,14,336,0.7083333333333334,0.04,0.7846153846153846,0.9170616113744076,0.7582938388625592,0.2417061611374408
calibration,0.1,full_information_always_on,422,72,350,63,9,44,306,0.875,0.12571428571428572,0.5887850467289719,0.8744075829383886,1.0,0.0
calibration,0.1,selective_acquisition,422,72,350,63,9,46,304,0.875,0.13142857142857142,0.5779816513761468,0.8696682464454977,0.8293838862559242,0.17061611374407581
final_test,0.01,full_information_always_on,422,72,350,13,59,0,350,0.18055555555555555,0.0,1.0,0.8601895734597157,1.0,0.0
final_test,0.01,selective_acquisition,422,72,350,10,62,4,346,0.1388888888888889,0.011428571428571429,0.7142857142857143,0.8436018957345972,0.20853080568720378,0.7914691943127963
final_test,0.025,full_information_always_on,422,72,350,33,39,7,343,0.4583333333333333,0.02,0.825,0.8909952606635071,1.0,0.0
final_test,0.025,selective_acquisition,422,72,350,35,37,11,339,0.4861111111111111,0.03142857142857143,0.7608695652173914,0.8862559241706162,0.3459715639810427,0.6540284360189573
final_test,0.05,full_information_always_on,422,72,350,54,18,12,338,0.75,0.03428571428571429,0.8181818181818182,0.9289099526066351,1.0,0.0
final_test,0.05,selective_acquisition,422,72,350,54,18,16,334,0.75,0.045714285714285714,0.7714285714285715,0.919431279620853,0.7417061611374408,0.2582938388625592
final_test,0.1,full_information_always_on,422,72,350,63,9,34,316,0.875,0.09714285714285714,0.6494845360824743,0.8981042654028436,1.0,0.0
final_test,0.1,selective_acquisition,422,72,350,63,9,36,314,0.875,0.10285714285714286,0.6363636363636364,0.8933649289099526,0.8554502369668247,0.14454976303317535
held_out_shift,0.01,full_information_always_on,50,34,16,5,29,0,16,0.14705882352941177,0.0,1.0,0.42,1.0,0.0
held_out_shift,0.01,selective_acquisition,50,34,16,1,33,1,15,0.029411764705882353,0.0625,0.5,0.32,0.5,0.5
held_out_shift,0.025,full_information_always_on,50,34,16,21,13,3,13,0.6176470588235294,0.1875,0.875,0.68,1.0,0.0
held_out_shift,0.025,selective_acquisition,50,34,16,20,14,4,12,0.5882352941176471,0.25,0.8333333333333334,0.64,0.56,0.43999999999999995
held_out_shift,0.05,full_information_always_on,50,34,16,31,3,6,10,0.9117647058823529,0.375,0.8378378378378378,0.82,1.0,0.0
held_out_shift,0.05,selective_acquisition,50,34,16,30,4,7,9,0.8823529411764706,0.4375,0.8108108108108109,0.78,0.84,0.16000000000000003
held_out_shift,0.1,full_information_always_on,50,34,16,34,0,10,6,1.0,0.625,0.7727272727272727,0.8,1.0,0.0
held_out_shift,0.1,selective_acquisition,50,34,16,34,0,10,6,1.0,0.625,0.7727272727272727,0.8,0.78,0.21999999999999997
