scheme,outer_fold,target_fpr,policy,threshold,selection_recall,selection_fpr,selection_precision,selection_qwen_call_rate,router_low_allow_threshold,router_high_intercept_threshold,full_fusion_threshold
leave_source_out,jailbreakbench_judge_comparison,0.01,full_information_always_on,0.8019926323335929,0.3473684210526316,0.008960573476702509,0.868421052631579,1.0,,,
leave_source_out,jailbreakbench_judge_comparison,0.01,selective_acquisition,,0.29473684210526313,0.008960573476702509,0.8484848484848485,0.24961715160796324,0.1574166769421374,0.6693769347066837,0.8107842002458584
leave_source_out,jailbreakbench_judge_comparison,0.025,full_information_always_on,0.7389757778093332,0.7052631578947368,0.023297491039426525,0.8375,1.0,,,
leave_source_out,jailbreakbench_judge_comparison,0.025,selective_acquisition,,0.6842105263157895,0.023297491039426525,0.8333333333333334,0.7641653905053599,0.09244151184624604,0.6693769347066837,0.7389583103482646
leave_source_out,jailbreakbench_judge_comparison,0.05,full_information_always_on,0.22592839595245526,0.8736842105263158,0.04659498207885305,0.7614678899082569,1.0,,,
leave_source_out,jailbreakbench_judge_comparison,0.05,selective_acquisition,,0.8736842105263158,0.04659498207885305,0.7614678899082569,0.892802450229709,0.09228574419665496,0.6693769347066837,0.22590579254434992
leave_source_out,jailbreakbench_judge_comparison,0.1,full_information_always_on,0.0800013987611483,0.8947368421052632,0.06630824372759857,0.6967213114754098,1.0,,,
leave_source_out,jailbreakbench_judge_comparison,0.1,selective_acquisition,,0.9052631578947369,0.0913978494623656,0.6277372262773723,0.8284839203675345,0.09228574419665496,0.34500653430592343,0.07296949134789738
leave_source_out,wildguardtest,0.01,full_information_always_on,0.8154942790153552,0.65,0.00909090909090909,0.9629629629629629,1.0,,,
leave_source_out,wildguardtest,0.01,selective_acquisition,,0.675,0.00909090909090909,0.9642857142857143,0.38,0.26948152726839597,0.5911958169617308,0.2927591656941069
leave_source_out,wildguardtest,0.025,full_information_always_on,0.7823035449384025,0.675,0.01818181818181818,0.9310344827586207,1.0,,,
leave_source_out,wildguardtest,0.025,selective_acquisition,,0.675,0.01818181818181818,0.9310344827586207,0.36,0.26948152726839597,0.5723292840350998,0.2927591656941069
leave_source_out,wildguardtest,0.05,full_information_always_on,0.48229535227804127,0.95,0.02727272727272727,0.926829268292683,1.0,,,
leave_source_out,wildguardtest,0.05,selective_acquisition,,0.95,0.03636363636363636,0.9047619047619048,0.96,0.18113200724012513,0.5723292840350998,0.2927591656941069
leave_source_out,wildguardtest,0.1,full_information_always_on,0.17512500770958334,1.0,0.09090909090909091,0.8,1.0,,,
leave_source_out,wildguardtest,0.1,selective_acquisition,,1.0,0.1,0.7843137254901961,0.96,0.18113200724012513,0.5723292840350998,0.06264513636561855
leave_source_out,xstest_safe_gpt4,0.01,full_information_always_on,0.8055909966546733,0.5597014925373134,0.007952286282306162,0.9493670886075949,1.0,,,
leave_source_out,xstest_safe_gpt4,0.01,selective_acquisition,,0.5597014925373134,0.009940357852882704,0.9375,0.3359497645211931,0.1939838099042427,0.7555424321877974,0.5645141915929553
leave_source_out,xstest_safe_gpt4,0.025,full_information_always_on,0.7642411855264912,0.8432835820895522,0.02385685884691849,0.904,1.0,,,
