scheme,target_fpr,policy,n,positive_n,negative_n,tp,fn,fp,tn,recall,fpr,precision,accuracy,intercept_rate,recall_ci95_low,recall_ci95_high,fpr_ci95_low,fpr_ci95_high,fpr_one_sided95_upper,qwen_call_rate,avg_estimated_cost_ms,estimated_cost_reduction
leave_family_out,0.01,full_information_always_on,200,119,81,67,52,4,77,0.5630252100840336,0.04938271604938271,0.9436619718309859,0.72,0.355,0.46909278308554286,0.653745383951797,0.013617087088063171,0.12163813948651114,0.10944841272038808,1.0,1407.7604255,0.0
leave_family_out,0.01,selective_acquisition,200,119,81,65,54,4,77,0.5462184873949579,0.04938271604938271,0.9420289855072463,0.71,0.345,0.4523896121981817,0.6376921892890233,0.013617087088063171,0.12163813948651114,0.10944841272038808,0.52,750.81379934,0.46666081405624804
leave_family_out,0.025,full_information_always_on,200,119,81,86,33,10,71,0.7226890756302521,0.12345679012345678,0.8958333333333334,0.785,0.48,0.6331533379392078,0.8008080321624242,0.06082024925131718,0.21534469804755527,0.20040906761374108,1.0,1407.7604255,0.0
leave_family_out,0.025,selective_acquisition,200,119,81,87,32,10,71,0.7310924369747899,0.12345679012345678,0.8969072164948454,0.79,0.485,0.642089726179609,0.8082407153845769,0.06082024925131718,0.21534469804755527,0.20040906761374108,0.79,1120.346276555,0.20416410614960856
leave_family_out,0.05,full_information_always_on,200,119,81,118,1,15,66,0.9915966386554622,0.18518518518518517,0.8872180451127819,0.92,0.665,0.9540689995558822,0.9997872679417302,0.10751669597964444,0.28697608967809857,0.2707334573889996,1.0,1407.7604255,0.0
leave_family_out,0.05,selective_acquisition,200,119,81,118,1,15,66,0.9915966386554622,0.18518518518518517,0.8872180451127819,0.92,0.665,0.9540689995558822,0.9997872679417302,0.10751669597964444,0.28697608967809857,0.2707334573889996,0.99,1394.0740374550003,0.009722100292838376
leave_family_out,0.1,full_information_always_on,200,119,81,119,0,18,63,1.0,0.2222222222222222,0.8686131386861314,0.91,0.685,0.9694765551462038,1.0,0.13734189202394653,0.3282777537974119,0.3115086463644208,1.0,1407.7604255,0.0
leave_family_out,0.1,selective_acquisition,200,119,81,119,0,20,61,1.0,0.24691358024691357,0.8561151079136691,0.9,0.695,0.9694765551462038,1.0,0.15780861682761133,0.35526021044181455,0.3382252776549388,0.835,1181.9350227575,0.16041465483183526
leave_source_out,0.01,full_information_always_on,2159,403,1756,174,229,15,1741,0.4317617866004963,0.008542141230068337,0.9206349206349206,0.8869847151459008,0.08754052802223251,0.38281853859798537,0.4817144330471128,0.004788626546324537,0.014049882785145311,0.013122924361559278,1.0,1407.7604255,0.0
leave_source_out,0.01,selective_acquisition,2159,403,1756,178,225,32,1724,0.44168734491315137,0.018223234624145785,0.8476190476190476,0.8809634089856415,0.09726725335803613,0.39254778518103206,0.4916894114798234,0.012497230205641486,0.025629087412971218,0.024400765355331568,0.25289485873089396,385.24333811764706,0.7263431112713524
leave_source_out,0.025,full_information_always_on,2159,403,1756,226,177,29,1727,0.5607940446650124,0.01651480637813212,0.8862745098039215,0.904585456229736,0.11811023622047244,0.5108024998426461,0.6098863631081297,0.011087401639570048,0.023632463256586717,0.022449925636912067,1.0,1407.7604255,0.0
leave_source_out,0.025,selective_acquisition,2159,403,1756,215,188,42,1714,0.533498759305211,0.023917995444191344,0.8365758754863813,0.8934691987031033,0.1190365910143585,0.4834581890896738,0.5830439190559397,0.017291093177935143,0.03219379674842771,0.030827265015512126,0.3459935155164428,512.6617724411765,0.6358316634315868
leave_source_out,0.05,full_information_always_on,2159,403,1756,331,72,72,1684,0.8213399503722084,0.04100227790432802,0.8213399503722084,0.9333024548402038,0.18666049096804077,0.7803795042479855,0.8575029698295658,0.03221754228614787,0.05135927377219729,0.04966229028423861,1.0,1407.7604255,0.0
leave_source_out,0.05,selective_acquisition,2159,403,1756,336,67,88,1668,0.8337468982630273,0.05011389521640091,0.7924528301886793,0.9282075034738305,0.19638721630384437,0.7937336711352199,0.8687716717486231,0.04038383046891649,0.06137971795609708,0.05953859617040559,0.9434923575729505,1330.4218733235296,0.05493729669876313
leave_source_out,0.1,full_information_always_on,2159,403,1756,359,44,113,1643,0.890818858560794,0.06435079726651481,0.760593220338983,0.9272811486799444,0.21861973135710977,0.8562095090203653,0.9195401626533548,0.05332506860072003,0.0768579947940271,0.07482022142312347,1.0,1407.7604255,0.0
leave_source_out,0.1,selective_acquisition,2159,403,1756,359,44,136,1620,0.890818858560794,0.0774487471526196,0.7252525252525253,0.9166280685502547,0.22927281148679945,0.8562095090203653,0.9195401626533548,0.06537595707138925,0.09095482009257613,0.08875903933053611,0.9198703103288559,1298.0918228235296,0.07790288794168876
