scope_type,scope_value,mode,decision_rule,roc_auc,average_precision,n,positive_n,negative_n,tp,fn,fp,tn,recall,fpr,precision
overall,all,prompt_only,unsafe_only,0.8269984613393537,0.41210010545195846,2159,394,1765,350,44,465,1300,0.8883248730964467,0.26345609065155806,0.4294478527607362
overall,all,prompt_only,unsafe_or_controversial,0.8269984613393537,0.41210010545195846,2159,394,1765,369,25,566,1199,0.9365482233502538,0.3206798866855524,0.3946524064171123
overall,all,response_only,unsafe_only,0.8980011791604953,0.7228311581673359,2159,394,1765,264,130,46,1719,0.6700507614213198,0.026062322946175637,0.8516129032258064
overall,all,response_only,unsafe_or_controversial,0.8980011791604953,0.7228311581673359,2159,394,1765,332,62,132,1633,0.8426395939086294,0.07478753541076487,0.7155172413793104
overall,all,prompt_response,unsafe_only,0.9200112164047108,0.7413059232319346,2159,394,1765,318,76,71,1694,0.8071065989847716,0.040226628895184136,0.8174807197943444
overall,all,prompt_response,unsafe_or_controversial,0.9200112164047108,0.7413059232319346,2159,394,1765,350,44,115,1650,0.8883248730964467,0.06515580736543909,0.7526881720430108
split,calibration,prompt_only,unsafe_only,0.8201587301587301,0.38873919101972204,422,72,350,62,10,89,261,0.8611111111111112,0.2542857142857143,0.4105960264900662
split,calibration,prompt_only,unsafe_or_controversial,0.8201587301587301,0.38873919101972204,422,72,350,66,6,109,241,0.9166666666666666,0.31142857142857144,0.37714285714285717
split,calibration,response_only,unsafe_only,0.8464285714285714,0.6337195081712744,422,72,350,44,28,10,340,0.6111111111111112,0.02857142857142857,0.8148148148148148
split,calibration,response_only,unsafe_or_controversial,0.8464285714285714,0.6337195081712744,422,72,350,53,19,20,330,0.7361111111111112,0.05714285714285714,0.726027397260274
split,calibration,prompt_response,unsafe_only,0.9035714285714286,0.7259369202051259,422,72,350,52,20,10,340,0.7222222222222222,0.02857142857142857,0.8387096774193549
split,calibration,prompt_response,unsafe_or_controversial,0.9035714285714286,0.7259369202051259,422,72,350,61,11,20,330,0.8472222222222222,0.05714285714285714,0.7530864197530864
split,final_test,prompt_only,unsafe_only,0.8251190476190476,0.3975226071798224,422,72,350,63,9,87,263,0.875,0.24857142857142858,0.42
split,final_test,prompt_only,unsafe_or_controversial,0.8251190476190476,0.3975226071798224,422,72,350,66,6,108,242,0.9166666666666666,0.30857142857142855,0.3793103448275862
split,final_test,response_only,unsafe_only,0.8834722222222222,0.7066005150304598,422,72,350,45,27,7,343,0.625,0.02,0.8653846153846154
