stack,perturbation_budget,development_rows,unsafe_rows,full_caught_unsafe_n,full_caught_cheap_miss_witness_n,baseline_unambiguous_bypass_witness_n,bypassable_witness_n,incremental_bypassable_witness_n,incremental_full_caught_unsafe_bypassable_fraction,route_deadband_epsilon,realizability_claim
rule_compact_to_qwen,0.0,1687,291,260,117,117,117,0,0.0,1e-06,False
rule_compact_to_qwen,1e-06,1687,291,260,117,117,117,0,0.0,1e-06,False
rule_compact_to_qwen,0.0001,1687,291,260,117,117,117,0,0.0,1e-06,False
rule_compact_to_qwen,0.001,1687,291,260,117,117,117,0,0.0,1e-06,False
rule_compact_to_qwen,0.01,1687,291,260,117,117,117,0,0.0,1e-06,False
rule_compact_to_qwen,0.05,1687,291,260,117,117,117,0,0.0,1e-06,False
rule_compact_to_qwen,0.1,1687,291,260,117,117,117,0,0.0,1e-06,False
rule_compact_to_qwen,0.25,1687,291,260,117,117,117,0,0.0,1e-06,False
compact_to_qwen,0.0,1687,291,260,126,126,126,0,0.0,1e-06,False
compact_to_qwen,1e-06,1687,291,260,126,126,126,0,0.0,1e-06,False
compact_to_qwen,0.0001,1687,291,260,126,126,126,0,0.0,1e-06,False
compact_to_qwen,0.001,1687,291,260,126,126,126,0,0.0,1e-06,False
compact_to_qwen,0.01,1687,291,260,126,126,126,0,0.0,1e-06,False
compact_to_qwen,0.05,1687,291,260,126,126,126,0,0.0,1e-06,False
compact_to_qwen,0.1,1687,291,260,126,126,126,0,0.0,1e-06,False
compact_to_qwen,0.25,1687,291,260,126,126,126,0,0.0,1e-06,False
rule_to_compact,0.0,1687,291,79,4,0,0,0,0.0,1e-06,False
rule_to_compact,1e-06,1687,291,79,4,0,0,0,0.0,1e-06,False
rule_to_compact,0.0001,1687,291,79,4,0,0,0,0.0,1e-06,False
rule_to_compact,0.001,1687,291,79,4,0,0,0,0.0,1e-06,False
rule_to_compact,0.01,1687,291,79,4,0,0,0,0.0,1e-06,False
rule_to_compact,0.05,1687,291,79,4,0,2,2,0.02531645569620253,1e-06,False
rule_to_compact,0.1,1687,291,79,4,0,2,2,0.02531645569620253,1e-06,False
rule_to_compact,0.25,1687,291,79,4,0,4,4,0.05063291139240506,1e-06,False
