stack,perturbation_budget,development_rows,baseline_fail_closed_escalation_n,force_escalation_n,force_escalation_fraction,route_deadband_epsilon
rule_compact_to_qwen,0.0,1687,464,464,0.27504445761707175,1e-06
rule_compact_to_qwen,1e-06,1687,464,464,0.27504445761707175,1e-06
rule_compact_to_qwen,0.0001,1687,464,465,0.27563722584469474,1e-06
rule_compact_to_qwen,0.001,1687,464,469,0.27800829875518673,1e-06
rule_compact_to_qwen,0.01,1687,464,488,0.28927089508002374,1e-06
rule_compact_to_qwen,0.05,1687,464,721,0.42738589211618255,1e-06
rule_compact_to_qwen,0.1,1687,464,1687,1.0,1e-06
rule_compact_to_qwen,0.25,1687,464,1687,1.0,1e-06
compact_to_qwen,0.0,1687,508,508,0.3011262596324837,1e-06
compact_to_qwen,1e-06,1687,508,509,0.3017190278601067,1e-06
compact_to_qwen,0.0001,1687,508,668,0.3959691760521636,1e-06
compact_to_qwen,0.001,1687,508,1687,1.0,1e-06
compact_to_qwen,0.01,1687,508,1687,1.0,1e-06
compact_to_qwen,0.05,1687,508,1687,1.0,1e-06
compact_to_qwen,0.1,1687,508,1687,1.0,1e-06
compact_to_qwen,0.25,1687,508,1687,1.0,1e-06
rule_to_compact,0.0,1687,498,498,0.2951985773562537,1e-06
rule_to_compact,1e-06,1687,498,498,0.2951985773562537,1e-06
rule_to_compact,0.0001,1687,498,498,0.2951985773562537,1e-06
rule_to_compact,0.001,1687,498,498,0.2951985773562537,1e-06
rule_to_compact,0.01,1687,498,566,0.33550681683461764,1e-06
rule_to_compact,0.05,1687,498,1687,1.0,1e-06
rule_to_compact,0.1,1687,498,1687,1.0,1e-06
rule_to_compact,0.25,1687,498,1687,1.0,1e-06
