split,target_fpr,recall_diff_selective_minus_full,fpr_diff_selective_minus_full,accuracy_diff_selective_minus_full,qwen_call_reduction,estimated_cost_reduction,recall_diff_ci95_low,recall_diff_ci95_high,fpr_diff_ci95_low,fpr_diff_ci95_high,accuracy_diff_ci95_low,accuracy_diff_ci95_high,qwen_call_reduction_ci95_low,qwen_call_reduction_ci95_high,estimated_cost_reduction_ci95_low,estimated_cost_reduction_ci95_high
calibration,0.01,-0.05263157894736842,0.014450867052023121,-0.021327014218009532,0.7393364928909952,0.7187903534041734,-0.11842105263157895,0.0,0.002890173410404624,0.028901734104046242,-0.03791469194312802,-0.007109004739336511,0.6966824644549763,0.7796208530805687,0.6773216791693173,0.7579552124037597
calibration,0.025,0.01315789473684209,0.01445086705202312,-0.009478672985781977,0.6279620853080569,0.6105110373464935,0.0,0.03947368421052633,0.002890173410404624,0.028901734104046242,-0.021327014218009532,0.0,0.5829383886255924,0.6729857819905214,0.5667385478763676,0.6542835268166194
calibration,0.05,-0.013157894736842146,0.011560693641618498,-0.011848341232227555,0.29383886255924174,0.2856730891734537,-0.06578947368421051,0.026315789473684292,0.0,0.02601156069364162,-0.026066350710900466,0.0,0.2511848341232228,0.34123222748815163,0.24420441493859735,0.33174939387884916
calibration,0.1,-0.013157894736842035,-0.008670520231213869,0.004739336492890933,0.17061611374407581,0.1658746969394247,-0.03947368421052633,0.0,-0.020231213872832388,0.002890173410404623,-0.007109004739336511,0.016587677725118488,0.13507109004739337,0.20616113744075826,0.13131746841037795,0.20043192546847133
final_test,0.01,-0.02702702702702703,0.011494252873563218,-0.014218009478673022,0.7890995260663507,0.7671704733448389,-0.10810810810810809,0.04054054054054054,0.0028735632183908046,0.022988505747126436,-0.03080568720379151,0.0,0.7511848341232228,0.8270142180094786,0.7303094295805224,0.8040315171091554
final_test,0.025,0.040540540540540515,0.011494252873563218,-0.0023696682464454666,0.6492890995260663,0.6312453744639215,0.0,0.09459459459459457,0.0028735632183908046,0.02298850574712644,-0.014218009478673022,0.009478672985781977,0.6042654028436019,0.6943127962085308,0.5874728849937956,0.6750178639340475
final_test,0.05,-0.04054054054054057,0.011494252873563218,-0.016587677725118488,0.31042654028436023,0.3017997958203421,-0.1216216216216216,0.04054054054054057,0.002873563218390801,0.02298850574712644,-0.033175355450236976,0.0,0.2654028436018957,0.3530805687203792,0.258027306350216,0.3432684700551981
final_test,0.1,0.0,0.0,0.0,0.14454976303317535,0.140532729351457,0.0,0.0,0.0,0.0,0.0,0.0,0.11374407582938384,0.17772511848341233,0.11058313129294983,0.17278614264523395
held_out_shift,0.01,-0.05263157894736842,0.08333333333333333,-0.06,0.5,0.4861050146419251,-0.13157894736842105,0.0,0.0,0.25,-0.13999999999999996,0.0,0.36,0.62,0.3499956105421861,0.6027702181559871
held_out_shift,0.025,0.0,0.08333333333333333,-0.020000000000000018,0.43999999999999995,0.4277724128848942,0.0,0.0,0.0,0.25,-0.06000000000000005,0.0,0.30000000000000004,0.5800000000000001,0.29166300878515516,0.563881816984633
held_out_shift,0.05,-0.02631578947368418,0.08333333333333334,-0.040000000000000036,0.16000000000000003,0.15555360468541612,-0.07894736842105265,0.0,0.0,0.25,-0.09999999999999998,0.0,0.07999999999999996,0.26,0.07777680234270812,0.2527746076138012
held_out_shift,0.1,0.0,0.0,0.0,0.21999999999999997,0.21388620644244705,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.33999999999999997,0.11666520351406218,0.3305514099565092
